English,translation,back_translation
Age,Вік,Age of the child
Age of Acquisition Study,Дослідження віку придбання,Age of acquisition research
"Always think of how concrete (experience based) the meaning of the word is to you. In all likelihood, you will encounter several words you do not know well enough to give a useful rating. This is informative to us too, as in our research we only want to use words known to people. We may also include one or two fake words which cannot be known by you. Please indicate when you don't know a word by using the letter X.","Завжди думайте про те, наскільки конкретним (на основі досвіду) є для вас значення слова; швидше за все, ви зіткнетеся з кількома словами, які ви не знаєте достатньо добре, щоб дати корисний рейтинг; це також є інформативним для нас, оскільки в нашому дослідженні ми хочемо використовувати тільки слова, відомі людям; ми також можемо включити одне або два фальшиві слова, які не можуть бути відомі вам.","Always think about how specific (based on experience) the meaning of a word is for you; you'll probably encounter a few words that you don't know well enough to give a useful rating; it's also informative for us, since in our research we want to use only words that people know; we can also include one or two fake words that you may not know."
Are you primarily left- or right-handed?,Ви переважно ліворукий чи праворукий?,Are you predominantly left-handed or right-handed?
Arousal ratings,Рейтинги збудження,The excitement ratings
Arousal Study,Дослідження збудження,Studies of arousal
Associate's degree or two-year degree,Ступінь доцента або дворічний ступінь,Associate degree or two-year degree
"We call this set of figures SAM, and you will be using these figures to rate how you feel while reading each word. The picture shows the unhappy-happy scale, which ranges from a frown to a smile. At one extreme of this scale, you feel completely unhappy, annoyed, unsatisfied, melancholic, despaired, or bored. You can indicate feeling completely unhappy by selecting the 1 on the left. The other end of the scale, you feel happy, pleased, satisfied, contented, or hopeful. When you feel completely happy you should indicate this by selecting the 9 on the right. The figures also allow you to describe intermediate feelings of pleasure, by selecting any values in the middle. If you feel completely neutral, neither happy nor sad, select the 4 in the middle.","""Наприклад, коли ви читаєте """"Сам,"""" ви можете оцінити, як ви себе почуваєте під час читання кожного слова, а на другому кінці - як ви себе почуваєте: щасливим, задоволеним, задоволеним, задоволеним або надійним. """"Коли ви почуваєте себе щасливим, ви повинні показати це, вибравши 9 в правому куті. """"Сам"""" також дозволяє описати проміжні почуття задоволення, вибравши будь-які значення в центрі. """"Не почувайтеся щасливими або сумними,"""" - вибирає 4 в центрі.""","If you're reading this, you'll notice that the ""I"" at the end of each line is a combination of ""I'm happy,"" ""I'm happy,"" ""I'm happy,"" ""I'm happy,"" ""I'm happy,"" ""I'm happy,"" ""I'm happy,"" ""I'm happy,"" ""I'm happy,"" ""I'm happy,"" ""I'm happy,"" ""I'm happy."""
Bachelor's degree or four-year degree,Бакалавр або чотирирічний ступінь,Bachelor's or four-year degree
Back,Ззаду,In the back.
Background Information:,Попередня інформація:,Forward information:
"By ""learning a word"", we mean the age at which you would have understood the word if somebody had used it in front of you, <strong>EVEN IF YOU DID NOT</strong> use, read, or write it at the time.","""Наприклад, """"вчитись слова"""" - це вік, коли ви зрозуміли б слово, якби хтось використовував його перед вами, навіть якщо ви не використовували, не читали або не писали його в той час.""","For example, ""learn a word"" is the age at which you would understand a word if someone used it before you, even if you didn't use it, read it, or write it at the time."
Close,Закрийте,Close it
Compensation:,Компенсація:,Compensation for:
Concreteness Study,Дослідження конкретності,The study of specificity
Confidentiality and Data Sharing:,Конфіденційність та обмін даними:,Confidentiality and data exchange:
CONSENT FORM,Форма згоди,Form of consent
Contacts and Questions:,Контакти та питання:,Contacts and questions:
Demographic Information,Демографічна інформація,The demographic information
Do you consent to participate?,Ви погоджуєтеся брати участь?,Do you agree to participate?
Doctoral degree or equivalent,Докторська ступінь або еквівалент,Doctoral degree or equivalent
Enter a whole number from 1 to 100.,Введіть ціле число від 1 до 100.,Enter an integer from 1 to 100.
Enter an age or select X.,Введіть вік або виберіть X.,Enter the age or select X.
Familiarity Study,Дослідження знайомості,The study of familiarity
Female,Жінка,A woman
Finish,Завершити,Finish
