en_cue,en_target,ukr_cue,ukr_target,needs_review,suggested_ukr_cue,final_ukr_cue,backtrans_cue,backtrans_target,backtrans_cue_match,backtrans_target_match,backtrans_needs_review
leave,abandon,піти,залишити,False,,піти,to go,leave,False,False,True
spinal,abdominal,спинальний,живота,False,,спинальний,the spinal cord,of life,False,False,True
kidnap,abduct,викрасти,викрадення,False,,викрасти,steal,the kidnapping,False,False,True
capacity,ability,потужність,здатність,False,,потужність,power,ability,False,True,True
out,about,вийшов,про,False,,вийшов,he left,about,False,True,True
presence,absence,присутність,відсутність,False,,присутність,the presence,absence,False,True,True
ridiculous,absurd,нелепо,абсурдно,False,,нелепо,this is ridiculous,this is absurd,False,False,True
voice,accent,голос,акцент,False,,голос,the voice,the accent,False,False,True
refuse,accept,відмовитись,прийняти,False,,відмовитись,give up,to accept,False,False,True
incident,accident,інцидент,аварія,False,,інцидент,the incident,the accident,False,False,True
escort,accompany,ескорт,супроводжувати,False,,ескорт,the escort,accompanying,False,False,True
complaint,accusation,скарга,звинувачення,False,,скарга,complaint,the accusation,True,False,True
gesture,act,жест,акт,False,,жест,the gesture,the act,False,False,True
trigger,activate,спусковий механізм,активувати,False,,спусковий механізм,the descent mechanism,activate,False,True,True
active,activity,активний,діяльність,False,,активний,active,activities,True,False,True
author,actor,автор,актор,False,,автор,author,actor,True,True,False
extra,additional,додатково,додаткові,False,,додатково,additionally,additional,False,True,True
number,address,номер,адреса,False,,номер,number,address,True,True,False
management,administrative,управління,адміністративний,False,,управління,management,administrative office,True,False,True
hormone,adrenaline,гормон,адреналін,False,,гормон,the hormone,the adrenaline,False,False,True
advice,advise,поради,порадити,False,,поради,advice,advise,True,True,False
firm,agency,тверда,агентство,False,,тверда,the fortress,agency,False,True,True
contract,agreement,контракт,угода,False,,контракт,the contract,the deal,False,False,True
terminal,airport,термінал,аеропорт,False,,термінал,the terminal,airport,False,True,True
alert,alarm,попередження,тривожна сигналізація,False,,попередження,warning,alarm system,False,False,True
motive,alibi,мотив,алібі,False,,мотив,motive,the alibi,True,False,True
ufo,alien,ufo,інопланетянин,False,,ufo,the ufo,the alien,False,False,True
corner,alley,кут,алея,False,,кут,the angle,the alley,False,False,True
bravo,alpha,добре,альфа,False,,добре,very well,the alpha,False,False,True
impressive,amazing,вражаюче,дивовижно,False,,вражаюче,it was amazing,its wonderful,False,False,True
africa,america,африка,америка,False,,африка,africa,the united states,True,False,True
sum,amount,сума,сума,True,додати,додати,add,the amount,False,False,True
autopsy,analysis,аутопсія,аналіз,False,,аутопсія,the autopsy,the analysis,False,False,True
jealous,angry,ревнивий,злість,False,,ревнивий,jealous,anger,True,False,True
beast,animal,звір,тварина,False,,звір,the beast,the animal,False,False,True
bee,ant,бджола,мурашка,False,,бджола,the bee,the ant,False,False,True
house,apartment,будинок,квартира,False,,будинок,house,apartment,True,True,False
admire,appreciate,захоплюватися,дякую,False,,захоплюватися,to be fascinated,thank you,False,False,True
permission,approval,дозвіл,схвалення,False,,дозвіл,permission to travel,approved,False,False,True
engineer,architect,інженер,архітектор,False,,інженер,engineer,architect,True,True,False
hand,arm,рука,рука,True,сценарій,сценарій,the script,the hand,False,False,True
shield,armor,щит,броня,False,,щит,shield,the armor,True,False,True
arsenal,armory,арсенал,збройна складова,False,,арсенал,the arsenal,weaponry,False,False,True
legion,army,легіон,армія,False,,легіон,the legion,the army,False,False,True
round,around,круглий,навколо,False,,круглий,round,around,True,True,False
