word,aoa,image,concrete,valence,arousal,familiar
verlaat,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
laat vaar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ruggraat,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
abdominale,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
vang,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ontvoering,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
kapasiteit,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
vermoë,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
uit,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
omtrent,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
teenwoordigheid,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
afwesigheid,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
belaglik,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
absurd,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
stem,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
aksent,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
weier,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
aanvaar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
voorval,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ongeluk,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
begeleiding,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
vergesel,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
klagte,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
beskuldiging,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gebaar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
optrede,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ontketen,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
aktiveer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
aktief,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
aktiwiteit,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
skrywer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
akteur,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ekstra,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
bykomende,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
nommer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
adres,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
bestuur,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
administratiewe,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
hormoon,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
adrenalien,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
raad,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
raad gee,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
