en_cue,en_target,afr_cue,afr_target,needs_review,suggested_afr_cue,final_afr_cue
leave,abandon,verlaat,laat vaar,False,,verlaat
spinal,abdominal,ruggraat,abdominale,False,,ruggraat
kidnap,abduct,ontvoering,ontvoering,True,ontvoer,vang
capacity,ability,kapasiteit,vermoë,False,,kapasiteit
out,about,uit,omtrent,False,,uit
presence,absence,teenwoordigheid,afwesigheid,False,,teenwoordigheid
ridiculous,absurd,belaglik,absurd,False,,belaglik
voice,accent,stem,aksent,False,,stem
refuse,accept,weier,aanvaar,False,,weier
incident,accident,voorval,ongeluk,False,,voorval
escort,accompany,begeleiding,vergesel,False,,begeleiding
complaint,accusation,klagte,beskuldiging,False,,klagte
gesture,act,gebaar,optrede,False,,gebaar
trigger,activate,ontketen,aktiveer,False,,ontketen
active,activity,aktief,aktiwiteit,False,,aktief
author,actor,skrywer,akteur,False,,skrywer
extra,additional,ekstra,bykomende,False,,ekstra
number,address,nommer,adres,False,,nommer
management,administrative,bestuur,administratiewe,False,,bestuur
hormone,adrenaline,hormoon,adrenalien,False,,hormoon
advice,advise,raad,raad gee,False,,raad
firm,agency,stewig,agentskap,False,,stewig
contract,agreement,kontrak,ooreenkoms,False,,kontrak
terminal,airport,terminale,lughawe,False,,terminale
alert,alarm,waarskuwing,alarm,False,,waarskuwing
motive,alibi,motief,alibi,False,,motief
ufo,alien,ufo,vreemdeling,False,,ufo
corner,alley,hoek,stegie,False,,hoek
bravo,alpha,baie goed,alfa,False,,baie goed
impressive,amazing,indrukwekkend,wonderlik,False,,indrukwekkend
africa,america,afrikaanse,die verenigde state,False,,afrikaanse
sum,amount,som,bedrag,False,,som
autopsy,analysis,autopsie,ontleding,False,,autopsie
jealous,angry,jaloers,kwaad,False,,jaloers
beast,animal,die dier,dier,False,,die dier
bee,ant,bye,mier,False,,bye
house,apartment,die huis,woonstel,False,,die huis
admire,appreciate,bewonder,waardeer,False,,bewonder
permission,approval,toestemming,goedkeuring,False,,toestemming
engineer,architect,ingenieur,argitek,False,,ingenieur
hand,arm,hand,arm,False,,hand
shield,armor,skild,wapenrusting,False,,skild
