position,word
1,arm
2,verkoper
3,aardbewing
4,biologie
5,wonderlik
6,manlike
7,voortgaan
8,aandete
9,hallo daar
10,kunstenaar
11,lewer
12,weerstaan
13,koeël
14,weet
15,konsentreer
16,tel
17,pynlik
18,mariene
19,speel
20,opgehang
21,rooi
22,binne
23,visvang
24,serebrale
25,naak
26,spring
27,hoofkwartier
28,onlangs
29,verkeerde spel
30,spesiale
31,vloot
32,nasie
33,versnapering
34,geskiet
35,uit
36,room
37,moeder
38,professionele
39,verdagte
40,u majesteit
41,weduwee
42,gevangene
43,beroemdheid
44,kolonie
45,bankman
46,middagete
47,draad
48,afrikaanse
49,kneusplek
50,vinnig
51,bruidegom
52,oorspronklike
53,motor
54,kombers
55,jeug
56,eerste
57,mars
58,prys
59,kollega
60,spaghetti
61,gesondheid
62,dubbele
63,boonste
64,kragloos
65,versamel
66,rivier
67,riskant
68,suurstof
69,waarde
70,vreugde
71,lasagne
72,bril
73,maatskappy
74,ontploffingsmiddel
75,faks
76,vrugte
77,kaliber
78,teater
79,meerderheid
80,hert
81,lewendig
82,stadig
83,sê
84,finansiële
85,ventilasie
86,altyd
87,werkswinkel
88,federale
89,hartseer
90,pers
91,naarheid
92,senior
93,die internet
94,kommunistiese
95,kuslyn
96,belê
97,venster
98,agterste
99,pad
100,lees
101,vierde
102,yster
103,hemp
104,te help
105,verbied
106,verduideliking
107,jurisdiksie
108,brein
109,dosis
110,stil
111,elektriese
112,groot
113,aantreklik
114,aktief
115,wapen
116,gravin
117,buite
118,vangs
119,katoen
120,legioen
121,knoppie
122,maffia
123,wins
124,ondervinding
125,getrouheid
126,walglik
127,aanvaller
128,vinger
129,ketting
130,weekliks
131,vriend
132,stop
133,eiendom
134,inkomste
135,gelukwens
136,groep
137,gebruik
138,diensmeisie
139,satelliet
140,die paradys
141,bynaam
142,speurder
143,skoonheid
144,studie
145,pos
146,kapitalisme
147,droog
148,vind
149,onderbreek
150,griep
151,genade
152,swart
153,maksimum
154,hindernis
155,pil
156,goed so
157,geregtigheid
158,aangekom
159,universiteit
160,oppervlak
161,melk
162,nagereg
163,verslaggewer
164,steenkool
165,gewoonlik
166,sonde
167,vars
168,november
169,ingenieur
170,laat vaar
171,karakter
172,dood
173,ruggraat
174,biologiese
175,fliek
176,helder
177,stam
178,vleis
179,ploeg
180,bestee
181,nat
182,dink
183,die senaat
184,ontsnap
185,gehalte
186,positief
187,plig
188,skool
189,traan
190,argitek
191,sterkte
192,maaltyd
193,alibi
194,kort
195,inspirasie
196,sin
197,interessant
198,belaglik
199,onregverdigheid
200,bom
201,idee
202,sanger
203,jong
204,vrywillig
205,uiteindelik
206,militêre
207,donder
208,slot
209,seuntjie
210,sagmoedig
211,lekker
212,voorneme
213,praat
214,terminale
215,romanties
216,kat
217,seminaar
218,bier
219,kelner
220,my pa
221,kalender
222,koop
223,vloer
224,dans
225,towenaar
226,gay
227,dit is duidelik
228,hoop
229,maklik
230,nooit
231,skaduwee
232,rome
233,die washington
234,in stand hou
235,fokus
236,vergesel
237,leër
238,laat
239,telefoon
240,rekord
241,limonade
242,inhoud
243,nog steeds
244,die liga
245,in teenstelling
246,leeu
247,alleen
248,bruid
249,fluitjie
250,ligte
251,swaard
252,skryf
253,meesteres
254,magnetiese
255,gewone
256,verskoning
257,slaap
258,been
259,ooreenkoms
260,vroulike
261,deksel
262,bonatuurlike
263,insek
264,preek
265,beskawing
266,ambulans
267,rede
268,diens
269,dogter
270,saak
271,passie
272,heks
273,die politiek
274,wonde
275,agterstewe
276,monitor
277,mikroskoop
278,konyn
279,uitsig
280,gaan weg
281,reusagtig
282,stoel
283,wonderlik
284,aand
285,egskeiding
286,redding
287,klep
288,naby
289,skryfwerk
290,sap
291,boot
292,finansieel
293,energie
294,toewyding
295,volg
296,geloof
297,gee
298,hoogheid
299,kindermeisie
300,vry
301,die lug
302,eekhoring
303,arm
304,werklikheid
305,vergeet
306,produksie
307,enjin
308,skielik
309,vodka
310,venus
311,relatiewe
312,sand
313,wenner
314,antwoord
315,pasiënt
316,die hotel
317,sending
318,data
319,vis
320,duikboot
321,wyn
322,eerlik
323,lesbiese
324,medelye
325,net
326,tou
327,reuk
328,dokter
329,onderwys
330,tronk
331,jazz
332,mat
333,kultuur
334,radar
335,dat
336,verrassing
337,onderkant
338,algemeen
339,juliet
340,skoenlapper
341,pad
342,lekker
343,demonstrasie
344,moeilikheid
345,werklike
346,waar
347,weeshuis
348,die held
349,respek
350,waardeloos
351,geboorte
352,medalje
353,krake
354,praktyk
355,watson
356,sekondêre
357,bedryf
358,hemelse
359,sukses
360,wagwoord
361,massering
362,ontketen
363,litteken
364,mense
365,waarskuwing
366,neef
367,die jeep
368,duisend
369,genoeg
370,werk
371,hoog
372,familie
373,inligting
374,oupa
375,kaas
376,sekretaris
377,verdediging
378,dier
379,doel
380,pomp
381,chaos
382,mening
383,lente
384,laag
385,kreatiwiteit
386,kommissie
387,koper
388,skouspelagtig
389,wetlike
390,begrafnis
391,verbeelding
392,vrou
393,onmoontlik
394,platter
395,koningin
396,trofee
397,lengte
398,huursoldaat
399,eeu
400,evaluering
