position,word
1,slaaf
2,inspuiting
3,opwindend
4,toilet
5,mes
6,stowwerig
7,kampioenskap
8,helikopter
9,drank
10,stem
11,ongelukkigheid
12,mislukking
13,lughawe
14,kroon
15,sop
16,goedkoop
17,verklaring
18,tornado
19,herfs
20,gevangenisstraf
21,vandag
22,delikaat
23,seerower
24,siekte
25,dna
26,chirurgiese
27,politikus
28,arsenaal
29,ming
30,glas
31,kroeg
32,oorleef
33,aktiveer
34,groet
35,medalje
36,siel
37,reeds
38,kers
39,die nobel
40,manlike
41,vlieënier
42,skuiling
43,frekwensie
44,sensasioneel
45,elektrisiteit
46,fisiese
47,neus
48,aanklaer
49,plaat
50,dik
51,myl
52,diere
53,die stad
54,hoek
55,nugter
56,eed
57,uiteindelike
58,werknemer
59,motorhuis
60,baai
61,eenheid
62,warm
63,trots
64,ontvoerder
65,vervaardiger
66,sherlock
67,aanbod
68,skip
69,nederlaag
70,ping
71,haai
72,loop
73,toets
74,potensiaal
75,handtekening
76,spek
77,voltooi
78,die duiwel
79,lek
80,ritme
81,urine
82,totaal
83,probeer
84,teleskoop
85,omkopery
86,boks
87,voorste
88,boer
89,sekuriteit
90,huur
91,klein
92,meel
93,donker
94,paleis
95,verskillende
96,ontleding
97,onvermoë
98,konjak
99,posisie
100,gewas
101,herstelwerk
102,taxi
103,musiek
104,agterkant
105,abdominale
106,begin
107,gram
108,behandeling
109,beroemd
110,virus
111,voltooi
112,glorieryke
113,mis
114,goed
115,speler
116,lepel
117,vallei
118,valstrik
119,niks
120,kliënt
121,vriendelik
122,ellende
123,aspirine
124,bedrag
125,basis
126,sakdoek
127,fabriek
128,aandrywing
129,tand
130,hardkoppig
131,toer
132,bewaar
133,oseaan
134,daagliks
135,dwelm
136,wentelbaan
137,verkiesing
138,waardeer
139,tydskrif
140,baie
141,julie
142,autopsie
143,walglik
144,ster
145,eenvormige
146,veldtog
147,tiener
148,beskrywing
149,intiem
150,verstandelike
151,fantasties
152,gevaarlik
153,irie
154,uniek
155,roete
156,grootte
157,dapper
158,instandhouding
159,definisie
160,beledigend
161,intelligente
162,waarskuwing
163,kom
164,streeks
165,priester
166,sein
167,sluk
168,wen
169,gebou
170,ongesteld
171,knie
172,volmaak
173,amptelike
174,roofdier
175,spieël
176,katolieke
177,die playboy
178,links
179,maak
180,temperatuur
181,cowboy
182,verlede
183,vrywilliger
184,vurk
185,tragies
186,plaag
187,geduld
188,invloed
189,landing
190,warm
191,punt
192,gehoor
193,smaak
194,piekniek
195,rondom
196,verbode
197,swak
198,tweede
199,waarborg
200,rykdom
201,gesmelt
202,eet
203,koffie
204,pop
205,boete
206,boonste
207,heroïen
208,eienaar
209,optimisties
210,koning
211,elegante
212,realisties
213,wind
214,karnaval
215,gevoel
216,televisie
217,in staat stel
218,heerlikheid
219,besmetting
220,marine
221,bestuur
222,penis
223,bymekaarkom
224,oranje
225,tablet
226,entrepreneur
227,outograaf
228,knoffel
229,oplos
230,passasier
231,reël
232,nommer
233,burgemeester
234,onredelik
235,opgewonde
236,punt
237,die middag
238,digter
239,wolk
240,naald
241,alfa
242,vlam
243,sonsondergang
244,die bakkie
245,klas
246,vloek
247,dringend
248,korrek
249,sport
250,staan
251,pappa wat is dit
252,eensaam
253,ligging
254,teenoorgestelde
255,sleutel
256,terapie
257,swaar
258,troue
259,gewoonlik
260,kasteel
261,vrygewig
262,die superman
263,wat is dit
264,prestasie
265,instrument
266,opsetlik
267,hoed
268,porn
269,woord
270,dom
271,hamburger
272,die
273,chemiese
274,klassieke
275,nywerheid
276,herstel
277,kis
278,sag
279,vagina
280,frans
281,fantasie
282,uitstekend
283,adolessent
284,wyd
285,intuïsie
286,straf
287,slang
288,heining
289,chemie
290,inlig
291,begeleiding
292,n grap
293,luister
294,toerusting
295,dief
296,rodeo
297,student
298,ingaan
299,agentskap
300,houding
301,krisis
302,snaaks
303,pakket
304,fotograaf
305,kos
306,video
307,baadjie
308,nederig
309,armoede
310,robot
311,ouer
312,ontvoering
313,skieter
314,hulpbronne
315,herdenking
316,bankdienste
317,dood
318,belangrikheid
319,sentimeter
320,wreedheid
321,die keiser
322,ambassadeur
323,bonus
324,geel
325,regter
326,laaste
327,leeg
328,slaapkamer
329,monnik
330,stasie
331,verfris
332,nie in staat
333,bespreking
334,liefdadigheid
335,lessenaar
336,belegger
337,dop
338,genees
339,protokol
340,drama
341,emosionele
342,verwyder
343,duisternis
344,politieke
345,suig
346,daar
347,atmosfeer
348,styl
349,verminder
350,spel
351,waansin
352,die heelal
353,wins
354,proteïen
355,skedule
356,papier
357,harmonie
358,visie
359,dikwels
360,winter
361,prys
362,nes
363,fase
364,weefsel
365,verhuurder
366,stoot
367,hoeveelheid
368,sak
369,situasie
370,masjien
371,kolonel
372,konserwatief
373,per ongeluk
374,dienskneg
375,grieks
376,suksesvol
377,bereken
378,koffer
379,nasionale
380,botter
381,plastiek
382,noordelike
383,gegradueerde
384,maandag
385,kernkrag
386,het geweet
387,noodsaaklik
388,rots
389,filosofie
390,vingerafdruk
391,graf
392,lesing
393,klavier
394,bloed
395,krygsman
396,struktuur
397,bykomende
398,hoes
399,restaurant
400,bou
