position,word
1,vloot
2,vuil
3,mikrofoon
4,stof
5,skild
6,omhelsing
7,die wêreld
8,skare
9,kamer
10,manipuleer
11,verandering
12,perd
13,suster
14,die prins
15,seil
16,menslike
17,fout
18,onwettig
19,saterdag
20,speelgoed
21,salaris
22,kanselier
23,fragment
24,olie
25,redelik
26,koei
27,skrikwekkend
28,padda
29,uitstalling
30,vrylik
31,kaneel
32,gans
33,stoof
34,rum
35,liberale
36,sjokolade
37,misdaad
38,bloot
39,gevolgtrekking
40,teorie
41,ondersoek
42,kandidaat
43,godsdiens
44,afstand
45,prooi
46,toevlugsoord
47,slagoffer
48,pyn
49,dun
50,ketchup
51,storm
52,gebied
53,bewys
54,demokrasie
55,koek
56,gorilla
57,verhoor
58,stewels
59,veilig
60,anatomie
61,gebaar
62,teenstander
63,gerugte
64,kommunikasie
65,hand
66,voorberei
67,bemanning
68,doel
69,punk
70,voertuig
71,piramide
72,whiskey
73,begrawe
74,afrigter
75,kommentaar
76,slaap
77,trek
78,onregverdig
79,in gevolgtrekking
80,genie
81,inspireer
82,vlug
83,staal
84,oop
85,broer
86,wag
87,letterlik
88,fisika
89,instink
90,kombinasie
91,tabak
92,ontploffer
93,tegniese
94,truuk
95,vroeg
96,lees
97,sleg
98,kommersiële
99,nou
100,kuns
101,brug
102,suidelike
103,interne
104,sensor
105,koppelvlak
106,netwerk
107,kwaad
108,verdwyning
109,pyniging
110,kaartjie
111,sinies
112,kapel
113,raaisel
114,verwag
115,rok
116,ongemaklik
117,ly
118,huurder
119,uitdaging
120,uie
121,kamp
122,poging
123,plant
124,soen
125,vlag
126,soet
127,klagte
128,uitgang
129,teëkom
130,hoogte
131,optrede
132,verkies
133,seuns
134,komitee
135,effektief
136,getref
137,kollege
138,brood
139,ding
140,merkwaardig
141,onaangenaam
142,die bybel
143,individuele
144,tenk
145,was
146,gesit
147,opdrag
148,berg
149,deeltjie
150,hulpeloos
151,mengsel
152,noodgeval
153,aanname
154,ongelukkig
155,val
156,spuit
157,kampioen
158,verbintenis
159,arrogansie
160,frase
161,orkaan
162,hou
163,openbaring
164,vertoning
165,federasie
166,opname
167,konsert
168,ondersoekbeampte
169,onderwerp
170,tempel
171,duidelik
172,verlaat
173,kanker
174,stokperdjie
175,middernag
176,naby
177,geskil
178,vuur
179,volgorde
180,vloeistof
181,aktetas
182,perspektief
183,konflik
184,plaaslike
185,land
186,vark
187,seksuele
188,gedenkteken
189,sondag
190,groen
191,goedkeuring
192,artikel
193,opwaarts
194,lening
195,hallusinasie
196,dronk
197,prosedure
198,blom
199,mededinging
200,hitte
201,onderdruk
202,aap
203,vries
204,ontbyt
205,gesag
206,kapasiteit
207,stuk
208,senuweeagtig
209,leuen
210,persoonlikheid
211,druk
212,seun
213,kantoor
214,arterie
215,vernietiging
216,oorweeg
217,halssnoer
218,handelsmerk
219,die bioskoop
220,klank
221,risiko
222,hare
223,huwelik
224,vertroue
225,senator
226,minus
227,strategie
228,stille oseaan
229,gemaklik
230,tydperk
231,hek
232,maansnelheid
233,standbeeld
234,ooit
235,mediese
236,kilometer
237,dinsdag
238,kyk
239,ruimtevaarder
240,reën
241,medelydend
242,onthou
243,natuurlike
244,waardevol
245,driehoek
246,belediging
247,reël
248,woestyn
249,gasvryheid
250,betekenis
251,kyk na
252,mooi
253,tegnologie
254,danser
255,week
256,kelnerin
257,eenvoudig
258,here
259,minister
260,oond
261,dobbelary
262,ewige
263,vraag
264,ongewoon
265,grond
266,wonderlik
267,paranormale
268,vergewe
269,trek
270,skilder
271,agtervolg
272,die helfte
273,monster
274,krag
275,pen
276,sit
277,sullen
278,soms
279,beskeie
280,uitsonderlike
281,vyand
282,miljoen
283,provinsie
284,oproep
285,miljoenêr
286,kartel
287,verbinding
288,staat
289,stort
290,ek sien jou
291,reeks
292,geweer
293,patrollie
294,veiligheid
295,spaar
296,wang
297,leer
298,verskriklik
299,vrag
300,nael
301,sous
302,plek
303,epidemie
304,lêer
305,joernalistiek
306,stem
307,wit
308,konferensie
309,pokker
310,ryk
311,verifieer
312,skyn
313,sneeu
314,seevaarders
315,mier
316,haat
317,keiser
318,ouma
319,illusie
320,miskien
321,besering
322,gewig
323,depressie
324,plus
325,die minimum
326,vitamien
327,sluipskutter
328,die brief
329,naïef
330,protes
331,entstof
332,alkohol
333,sonde
334,vlug
335,bekommerd
336,oorsaak
337,vir ewig
338,ekstra
339,soda
340,vrees
341,direk
342,mond
343,gat
344,busse
345,wasbeer
346,skiet
347,taak
348,agterkant
349,gif
350,moordenaar
351,bewyse
352,verf
353,meter
354,woonstel
355,laag
356,breek
357,kok
358,sy
359,kind
360,droom
361,toepas
362,hormoon
363,lip
364,lank
365,minuut
366,laer
367,kanaal
368,ontplof
369,woede
370,pond
371,plaasvervanger
372,opsie
373,diamant
374,afdeling
375,westelike
376,bedrog
377,stok
378,tonyn
379,ontvangs
380,band
381,sigaar
382,winkels
383,veg
384,bestuur
385,kabinet
386,dollars
387,bank
388,gesny
389,rekenaar
390,herken
391,gesluit
392,chip
393,deskundige
394,finansies
395,vol
396,ritueel
397,oulik
398,tafel
399,gas
400,hospitaal
