position,word
1,ingang
2,ronde
3,voorkom
4,toespraak
5,raad gee
6,geskenk
7,ver
8,bottel
9,kaart
10,moontlikheid
11,gesimuleerde
12,eer
13,geestig
14,onverwags
15,gebeurtenis
16,twyfel
17,paragraaf
18,einde
19,junie
20,advertensies
21,skrywer
22,omtrent
23,sokker
24,bak
25,heuwel
26,hardloop
27,atlantiese
28,sabotasie
29,nuttig
30,vang
31,getuie
32,toegelaat
33,adres
34,vervelig
35,balans
36,druppel
37,moderne
38,oog
39,klub
40,my ma
41,ras
42,telegram
43,kreef
44,bevat
45,hoof
46,meganiese
47,uitdruklike
48,erfenis
49,soortgelyke
50,ontleder
51,kaptein
52,wapenrusting
53,roesagtig
54,invoeg
55,dankbaarheid
56,keiserlike
57,muis
58,kou
59,rook
60,moordenaar
61,bataljon
62,uitkoms
63,ooreenstem
64,musikant
65,brandstof
66,absurd
67,bestuurder
68,toebroodjie
69,ironies
70,belofte
71,artefak
72,wandeling
73,tipiese
74,funksionele
75,morfien
76,vals
77,see
78,volwasse
79,indrukwekkend
80,negatief
81,klim
82,prokureur
83,distrik
84,modieus
85,gryp
86,onderwyser
87,oordryf
88,bely
89,bos
90,omtrek
91,dek
92,akteur
93,uitvoering
94,dvd
95,bevestig
96,derde
97,meer
98,kontak
99,heerlik
100,finansiering
101,kies
102,toernooi
103,siek
104,voorbereiding
105,verkoop
106,element
107,waarskynlikheid
108,eksperiment
109,onskuldig
110,bring
111,rooftog
112,gewild
113,geveg
114,mutasie
115,legende
116,samurai
117,bewonder
118,ja ek
119,tradisionele
120,aanhangsel
121,romeinse
122,hoor
123,bekommernis
124,wetenskaplike
125,dekaan
126,tevrede
127,organiseer
128,museum
129,in hegtenis geneem
130,skraap
131,spesialis
132,lojaal
133,indruk
134,bediening
135,vriendskap
136,kontroleer
137,begeerte
138,skouer
139,prakties
140,kode
141,vreemd
142,biblioteek
143,sagteware
144,die weste
145,stuur
146,moeg
147,woordeboek
148,nier
149,vegter
150,navigasie
151,modder
152,êrens
153,verskaf
154,sensitief
155,benodig
156,gedig
157,sjampanje
158,honger
159,stewig
160,teken
161,skerm
162,die radio
163,voorwerp
164,gereed
165,onverantwoordelik
166,pragtig
167,ufo
168,gesprek
169,suidelike
170,doodmaak
171,loopbaan
172,ordentlik
173,hartseer
174,afdeling
175,kleinkind
176,mal
177,beplanning
178,sterk
179,tennis
180,glimlag
181,as
182,sterk
183,bende
184,skrikwekkend
185,verskynsel
186,proses
187,persoonlike
188,skenking
189,waardigheid
190,faktor
191,die zombie
192,bofbal
193,infeksie
194,spioenasie
195,ring
196,onderskat
197,rus
198,strand
199,wens
200,juweel
201,probleem
202,piesang
203,nagmerrie
204,kenteken
205,sluk
206,slaai
207,kajuit
208,luitenant
209,nek
210,voorstel
211,liggaam
212,aangenaam
213,geraas
214,simbool
215,geheime
216,koevert
217,metaal
218,vertrek
219,primêre
220,getuienis
221,profiel
222,kapsule
223,stadion
224,broer
225,sender
226,môre
227,gereedskap
228,gebak
229,selfmoord
230,skoon
231,kunsmatige
232,sterrestelsel
233,teenwoordigheid
234,wag
235,baba
236,jag
237,plesier
238,ontploffing
239,wegskakel
240,literatuur
241,chirurgiese
242,helm
243,verkeerd
244,lamp
245,jonger
246,metode
247,keel
248,wetenskap
249,hoender
250,versteur
251,persoon
252,navorsing
253,agent
254,indrukwekkend
255,algemene
256,privaatheid
257,joernalis
258,nag
259,toring
260,maag
261,aksent
262,elders
263,hond
264,konsep
265,verloorder
266,mite
267,dude
268,verhouding
269,waarskynlik
270,naam
271,kabel
272,soldaat
273,vuurpyl
274,kas
275,inspeksie
276,kampeerplek
277,korporasie
278,senuwee
279,grawe
280,vragmotor
281,varkvleis
282,bedanking
283,baie goed
284,pragtig
285,aangedui
286,billik
287,bron
288,diarree
289,kompliment
290,baron
291,weerspieëling
292,batman
293,kennis
294,verdien
295,lojaliteit
296,vlugtelinge
297,appel
298,vordering
299,swem
300,natuurlik
301,kommissaris
302,ondersoek
303,lag
304,besigheid
305,joga
306,skoen
307,ontslag
308,klere
309,simptom
310,vampier
311,stilte
312,kopie
313,grondwet
314,amptelik
315,wraak
316,bepaling
317,koolstof
318,evolusie
319,bevestiging
320,bye
321,sirkel
322,afwesigheid
323,smal
324,hof
325,leier
326,limousine
327,romeo
328,beloning
329,portale
330,aanval
331,raad
332,sien
333,kamera
334,prinses
335,draak
336,jakkals
337,kokaïen
338,ou
339,desember
340,prentjie
341,straling
342,inval
343,ontwikkeling
344,iets
345,die hel
346,getrou
347,slak
348,verberg
349,inspekteur
350,koninklike
351,lipstiffie
352,beheer
353,sterf
354,doen
355,nutteloos
356,teleurstelling
357,enkelvoud
358,sak
359,ontploffing
360,hier
361,skandaal
362,teenmiddel
363,klip
364,dankbaar
365,slegte
366,vermoë
367,dokument
368,motief
369,sel
370,getroud
371,versoek
372,titel
373,vrou
374,afpersing
375,projek
376,vertroue
377,sirkus
378,kwartaal
379,gesond
380,paranoïes
381,president
382,suiker
383,kilo
384,picayune
385,anker
386,goddelike
387,selde
388,hulp
389,geld
390,waterstof
391,gevolg
392,stadig
393,koel
394,muur
395,kroeg
396,sersant
397,vlieg
398,esel
399,direkteur
400,skedel
