"language","value","translation"
"af","aalborg","aal sponsor"
"af","aalto","alms"
"af","aanbeveling","recommendation"
"af","aanbidding","worship"
"af","aanbied","offer"
"af","aanbieding","presentation"
"af","aanboord","on board"
"af","aanbreek","dawn"
"af","aanbring","adhere"
"af","aandag","attention"
"af","aandeel","share"
"af","aandeelhouer","shareholder"
"af","aandrang","insistence"
"af","aandring","insist"
"af","aandrywing","drive"
"af","aandui","indicate"
"af","aanduiding","indication"
"af","aangaan","continue"
"af","aangebreek","arrived"
"af","aangebring","made"
"af","aangedoen","perished"
"af","aangedring","insisted"
"af","aangedryf","powered"
"af","aangedurf","attempted"
"af","aangee","transmit"
"af","aangegaan","went on"
"af","aangegroei","greater"
"af","aangehaal","cited"
"af","aangehang","adjacent"
"af","aangehelp","helped"
"af","aangekla","accused"
"af","aangeknoop","incorporated"
"af","aangekoop","purchased"
"af","aangeleentheid","matter"
"af","aangeleer","acquired"
"af","aangenaam","pleasant"
"af","aangepak","embarked on"
"af","aangepaste","adapted"
"af","aangeprys","praise"
"af","aangeraak","touched"
"af","aangesig","face"
"af","aangeskaf","acquired"
"af","aangeskakel","switched on"
"af","aangesluit","joined"
"af","aangespreek","addressed"
"af","aangesteek","kind"
"af","aangeteken","recorded"
"af","aangetoon","shown"
"af","aangetref","found"
"af","aangetrek","dressed"
"af","aangeval","attacked"
"af","aangevul","complement"
"af","aangewakker","stimulated"
"af","aanhaal","quote"
"af","aanhaling","quotation"
"af","aanhang","adhere"
"af","aanhanger","trailer"
"af","aanhangig","branch"
"af","aanhoor","hear"
"af","aanhou","continue"
"af","aanhouding","detention"
"af","aanjaag","drive"
"af","aanklank","appeal"
"af","aankom","arrive"
"af","aankondig","announce"
"af","aankondiging","announcement"
"af","aankoop","purchase"
"af","aanleer","learn"
"af","aanleg","plant"
"af","aanleiding","occasion"
"af","aanloop","run up"
"af","aanlê","construct"
"af","aanmeld","report"
"af","aanmerking","comment"
"af","aanmerklik","significant"
"af","aanmoedig","encourage"
"af","aanmoediging","encouragement"
"af","aanname","assumption"
"af","aanneem","adopt"
"af","aanneming","adoption"
"af","aanpak","tackle"
"af","aanpas","adapt"
"af","aanpassing","adjustment"
"af","aanraai","advance"
"af","aanraak","touch"
"af","aanraking","touch"
"af","aanranding","assault"
"af","aanrig","cause"
"af","aansienlik","considerably"
"af","aanslaan","strike"
"af","aanslag","assessment"
"af","aansluit","join"
"af","aansluiting","connection"
"af","aansoek","application"
"af","aansporing","incentive"
"af","aanspraak","claim"
"af","aanspraakmaker","contender"
"af","aanspreek","address"
"af","aanspreeklik","liable"
"af","aanspreeklikheid","liability"
"af","aansteeklik","contagious"
"af","aanstel","appoint"
"af","aanstelling","appointment"
"af","aanstuur","forward"
"af","aansê","tell"
"af","aantal","number"
"af","aantekening","recording"
"af","aantrek","dress"
"af","aantrekking","attraction"
"af","aantreklik","attractive"
"af","aantreklikheid","attraction"
"af","aantyging","accusation"
"af","aanvaar","accept"
"af","aanvaarding","acceptance"
"af","aanval","attack"
"af","aanvaller","attacker"
"af","aanvang","commence"
"af","aanvanklik","initially"
"af","aanvoeling","feel"
"af","aanvoer","supply"
"af","aanvoerder","commander"
"af","aanvoering","lead"
"af","aanvra","request"
"af","aanvraag","request"
"af","aanvul","complement"
"af","aanvulling","supplement"
"af","aanwend","apply"
"af","aanwending","application"
"af","aanwesigheid","presence"
"af","aanwys","designate"
"af","aanwysing","indication"
"af","aard","earth"
"af","aardbewing","earthquake"
"af","aardbol","globe"
"af","aardklop","aardklop"
"af","aardoppervlak","earth surface"
"af","aardtak","earth branch"
"af","aardverwarming","global warming"
"af","aartappels","potatoes"
"af","aartsbiskop","archbishop"
"af","aasvoëls","vultures"
"af","abba","abba"
"af","abdikasie","abdication"
"af","abdikeer","abdicate"
"af","abjad","abjad"
"af","abraham","abraham"
"af","absorbeer","absorb"
"af","abstrak","abstract"
"af","acanthascus","acanthascus"
"af","activities","activities"
"af","actual","actual"
"af","acvv","acvv"
"af","adad","adad"
"af","adam","adam"
"af","added","offer"
"af","adderleystraat","adderley street"
"af","adding","adding"
"af","addisioneel","additional"
"af","additional","additional"
"af","adellik","noble"
"af","adellikes","noblies"
"af","adjunkminister","deputy"
"af","adjunkpresident","deputy president"
"af","adler","adler"
"af","administrasie","administration"
"af","administrateurs","administrators"
"af","administratief","administrative"
"af","administreer","administer"
"af","admiraal","admiral"
"af","adres","address"
"af","adv","adv"
"af","advanced","advanced"
"af","adventure","adventure"
"af","adverteer","advertise"
"af","advertensie","advertisement"
"af","advertiser","advertiser"
"af","advies","advice"
"af","advokaat","advocate"
"af","afbakening","demarcation"
"af","afbeelding","depiction"
"af","afbetaal","pay off"
"af","afbreek","dismantle"
"af","afbreuk","detract"
"af","afdeling","section"
"af","afdelingsraad","divisional council"
"af","afdruk","print"
"af","afdwing","enforce"
"af","affek","affect"
"af","affekteer","affect"
"af","afgebeeld","depicted"
"af","afgebreek","demolished"
"af","afgedruk","printed"
"af","afgedwing","enforced"
"af","afgeleides","derivatives"
"af","afgemaak","dismissed"
"af","afgeneem","decreased"
"af","afgeskaal","scald"
"af","afgeskakel","turned off"
"af","afgeskop","kicked off"
"af","afgespeel","played"
"af","afgestam","descended"
"af","afgestorwenes","deceased"
"af","afgetree","retired"
"af","afgevaardigdes","delegates"
"af","afgewerk","finished"
"af","afgewyk","departed"
"af","afhaal","take off"
