uk_cue,uk_target,type,cue_type,target_type,uk_cosine,still_over_threshold
смішний,абсурдний,related,word,word,0.686082954803078,FALSE
інцидент,аварія,related,word,word,0.298643576192395,FALSE
потяг,автобус,related,word,word,0.304825581987445,FALSE
фірма,агентство,related,word,word,0.350523456478551,FALSE
менеджмент,адміністративний,related,word,word,0.290826072818781,FALSE
гормон,адреналін,related,word,word,0.597885933173832,FALSE
число,адреса,related,word,word,0.235502069603716,FALSE
термінал,аеропорт,related,word,word,0.49283132533252,FALSE
жест,акт,related,word,word,0.28837508763014,FALSE
тригер,активувати,related,word,word,0.360264613401127,FALSE
автор,актор,related,word,word,0.435007600968154,FALSE
голос,акцент,related,word,word,0.263045045869437,FALSE
кут,алея,related,word,word,0.168386793545676,FALSE
мотив,алібі,related,word,word,0.251854923704554,FALSE
браво,альфа,related,word,word,0.0793206747856417,FALSE
африка,америка,related,word,word,0.47854597130985,FALSE
аутопсія,аналіз,related,word,word,0.304604752325684,FALSE
карати,арешт,related,word,word,0.309269582704828,FALSE
легіон,армія,related,word,word,0.292184223395847,FALSE
вена,артерія,related,word,word,0.536823787482043,FALSE
кавалерія,артилерія,related,word,word,0.627945160803917,FALSE
інженер,архітектор,related,word,word,0.44387891604879,FALSE
вторгнення,атакувати,related,word,word,0.320027068760372,FALSE
тихоокеанський,атлантичний,related,word,word,0.514892518772677,FALSE
середовище,атмосфера,related,word,word,0.265828068619193,FALSE
натовп,аудиторія,related,word,word,0.259807622798034,FALSE
дідусь,бабуся,related,word,word,0.658132544410682,FALSE
шовк,бавовна,related,word,word,0.536562018334602,FALSE
бідний,багатий,related,word,word,0.520587590323803,FALSE
скарбниця,багатство,related,word,word,0.388512985566644,FALSE
туга,бажання,related,word,word,0.198558858621507,FALSE
клуб,бар,related,word,word,0.224000155317747,FALSE
полк,батальйон,related,word,word,0.606237420354049,FALSE
дорослий,родитель,related,word,word,0.201161045806585,FALSE
мама,батько,related,word,word,0.470830072579857,FALSE
одкровення,бачення,related,word,word,0.477328520950674,FALSE
нерозумний,безвідповідальний,related,word,word,0.474685674310053,FALSE
гарантія,безпека,related,word,word,0.323496596760563,FALSE
сейф,безпечний,related,word,word,0.204436957726535,FALSE
прямий,безпосередньо,related,word,word,0.210791970098939,FALSE
безпорадний,безсилий,related,word,word,0.542818930626645,FALSE
стадіон,бейсбол,related,word,word,0.310011655709795,FALSE
тост,бекон,related,word,word,0.353486578875757,FALSE
супермен,бетмен,related,word,word,0.561969173593314,FALSE
війна,битва,related,word,word,0.423014214697607,FALSE
галузь,бізнес,related,word,word,0.293764956275941,FALSE
страждання,біль,related,word,word,0.435482317742092,FALSE
хімічний,біологічний,related,word,word,0.679630133501421,FALSE
хімія,біологія,related,word,word,0.631867641621995,FALSE
відчинено,близький,related,word,word,0.0883760332220826,FALSE
параноїдальний,божевільний,related,word,word,0.614324207524891,FALSE
бог,божественний,related,word,word,0.369618636255583,FALSE
волосся,борода,related,word,word,0.549779529820936,FALSE
бойовий,боротися,related,word,word,0.155047213899757,FALSE
зерно,борошно,related,word,word,0.567108644098352,FALSE
керівник,бос,related,word,word,0.168367923681416,FALSE
вашингтон,бостон,related,word,word,0.491299019167821,FALSE
чувак,брат,related,word,word,0.262311418883068,FALSE
сестра,брат,related,word,word,0.522652756159753,FALSE
лежати,брехун,related,word,word,0.164902700121949,FALSE
щит,броня,related,word,word,0.254766526870705,FALSE
неприємний,брудний,related,word,word,0.471954799028148,FALSE
башта,будівля,related,word,word,0.501050362747329,FALSE
будівельний,будувати,related,word,word,0.344953473208867,FALSE
телеграма,буква,related,word,word,0.238389900587218,FALSE
клітина,в'язниця,related,word,word,0,FALSE
народження,вагітність,related,word,word,0.347274481622102,FALSE
цінний,важливий,related,word,word,0.440624384516018,FALSE
сенс,важливість,related,word,word,0.301067413202027,FALSE
антидот,вакцина,related,word,word,0.355479587171463,FALSE
портфель,валіза,related,word,word,0.411755221803349,FALSE
зомбі,вампір,related,word,word,0.379010019331032,FALSE
причіп,фургон,related,word,word,0.446619057524009,FALSE
