word_id,word_german,word_english,pos,semantic_category,valence_M,valence_SE,valence_SD,valence_N,arousal_M,arousal_SE,arousal_SD,arousal_N,potency_M,potency_SE,potency_SD,potency_N,authority_M,authority_SE,authority_SD,authority_N,community_M,community_SE,community_SD,community_N,Cluster,freq_LEIPZIG,freq_SUBTLEX,freq_CELEX,orth_N_CELEX,orth_N_SUM_CELEX,FHN_CELEX,freq_DLEX_abs,freq_DLEX_norm,orth_N_DLEX,orth_N_SUM_DLEX,FHN_DLEX,freq_Zipf,syllables,letters
1,Abendessen,dinner,noun,setting,7.512,0.186,1.222,43,3.738,0.273,1.768,42,4.854,0.267,1.711,41,4.125,0.417,1.668,16,7.375,0.301,1.204,16,3,6.229,46.620,7.500,0,0.000,0,3.040,0.953,1,0.000,0,4.031,4,10
2,Abenteuer,adventure,noun,abstract,7.444,0.201,1.206,36,7.333,0.255,1.531,36,7.000,0.229,1.373,36,4.409,0.234,1.098,22,3.909,0.377,1.770,22,5,17.083,20.320,22.000,0,0.000,0,3.149,1.062,1,0.699,0,4.140,4,9
3,Abfuhr,rejection,noun,abstract,2.622,0.206,1.255,37,6.784,0.156,0.947,37,5.865,0.313,1.903,37,6.087,0.301,1.443,23,3.957,0.305,1.461,23,6,2.688,0.980,3.333,1,0.333,0,2.318,0.231,3,1.944,0,3.310,2,6
4,Abgeordneter,delegate,noun,identity,4.333,0.242,1.454,36,4.857,0.236,1.396,35,4.944,0.258,1.548,36,6.273,0.488,1.618,11,4.182,0.585,1.940,11,7,8.646,2.990,0.000,0,0.000,0,3.099,1.011,4,3.554,1,4.089,5,12
5,abhängig,dependent,adjective,characterization,2.630,0.208,1.079,27,6.074,0.282,1.466,27,3.852,0.436,2.265,27,6.391,0.325,1.559,23,5.304,0.424,2.032,23,8,27.396,8.540,32.833,2,1.500,0,3.588,1.500,4,2.253,0,4.578,3,8
6,Abiturient,High school graduate,noun,identity,6.300,0.308,1.685,30,5.034,0.308,1.658,29,5.900,0.237,1.296,30,5.105,0.215,0.937,19,4.842,0.361,1.573,19,5,0.813,0.080,4.500,0,0.000,0,1.544,-0.543,1,0.000,0,2.546,5,10
7,ablehnen,to reject,verb,behavior,3.529,0.243,1.419,34,5.971,0.217,1.267,34,6.059,0.286,1.669,34,5.913,0.361,1.730,23,4.391,0.337,1.616,23,6,10.479,9.060,91.833,2,3.667,0,3.059,0.972,5,2.161,0,4.050,3,8
8,Absage,rejection,noun,abstract,2.606,0.213,1.223,33,6.636,0.319,1.834,33,6.000,0.343,1.969,33,5.870,0.211,1.014,23,4.522,0.307,1.473,23,6,23.021,1.810,9.333,2,2.000,0,2.772,0.684,4,2.272,0,3.762,3,6
9,Abweichler,daviator,noun,identity,4.333,0.239,1.434,36,5.694,0.210,1.261,36,4.861,0.326,1.959,36,6.000,0.494,1.563,10,3.300,0.716,2.263,10,8,1.750,0.000,0.000,0,0.000,0,1.491,-0.596,0,0.000,0,2.495,3,10
10,adelig,aristocratic,adjective,characterization,4.561,0.229,1.467,41,5.293,0.227,1.453,41,5.146,0.293,1.878,41,7.167,0.405,1.403,12,3.500,0.452,1.567,12,1,0.125,0.160,0.667,1,0.167,0,1.362,-0.726,1,0.602,0,2.370,3,6
