word_english,word_english_past,regularity,consistency,imagine_M,RT_M,z_score,proportion_correct,proportion_error
assuage,assuaged,regular,1,3.08,742.62,0.11,0.517241379,0
assure,assured,regular,1,3.424242424,678,-0.46,1,0
astound,astounded,regular,1,3.333333333,676.96,-0.39,0.965517241,0
atrophy,atrophied,regular,1,3.870967742,851.92,0.51,0.931034483,0
attack,attacked,regular,1,5.28125,665.39,-0.43,0.965517241,0
attempt,attempted,regular,1,3,611.71,-0.66,0.933333333,0
attenuate,attenuated,regular,1,4.428571429,823.15,0.41,0.724137931,0
attire,attired,regular,1,3.083333333,733.33,-0.1,0.931034483,0
audit,audited,regular,1,3.807692308,700.93,-0.24,0.966666667,0
augment,augmented,regular,1,3.740740741,731.54,-0.07,0.965517241,0
authorize,authorized,regular,1,3.678571429,686.77,-0.36,0.896551724,0
automate,automated,regular,1,3.454545455,721.14,-0.13,0.966666667,0
avenge,avenged,regular,1,3.40625,650.48,-0.53,1,0
average,averaged,regular,1,3.419354839,709.69,-0.4,0.966666667,0
avoid,avoided,regular,1,2.90625,603.19,-0.72,0.931034483,0
await,awaited,regular,1,2.5625,688.56,-0.36,0.862068966,0
awake,awaked/awoke,other,0.71,6.033333333,831.67,0.25,0.670454545,0.034090909
award,awarded,regular,1,5.178571429,683.12,-0.35,0.896551724,0
babble,babbled,regular,1,4.5,679.9,-0.39,1,0
backfire,backfired,regular,1,3.606060606,635.43,-0.56,0.965517241,0
backslide,backslid,irregular,1,3.696969697,828.91,0.41,0.647727273,0.227272727
badger,badgered,regular,1,3.90625,727.39,-0.27,0.965517241,0
bag,bagged,regular,1,5.333333333,743.83,0.01,1,0
bait,baited,regular,1,4.466666667,737.86,-0.02,1,0
balance,balanced,regular,1,4.272727273,636.07,-0.62,1,0
balloon,ballooned,regular,1,5.392857143,662.91,-0.52,0.766666667,0
ban,banned,regular,0.88,3.333333333,679.28,-0.32,1,0
bandage,bandaged,regular,1,6.2,672.96,-0.36,0.896551724,0
bang,banged,regular,0.8,4.967741935,786.7,0.16,0.931034483,0
bank,banked,regular,1,4.272727273,715.79,-0.11,1,0
banquet,banqueted,regular,1,4.785714286,745.84,0.15,0.833333333,0
bar,barred,regular,1,3.192307692,799.57,0.19,1,0
bargain,bargained,regular,1,4.387096774,659.31,-0.47,1,0
bark,barked,regular,1,5.727272727,657.7,-0.39,0.931034483,0
barter,bartered,regular,1,4.366666667,708.07,-0.22,0.966666667,0
bask,basked,regular,1,4.161290323,712.11,-0.19,0.965517241,0
bat,batted,regular,1,5.53125,829.12,0.33,0.896551724,0
bath,bathed,regular,0.33,5.153846154,743.83,0.08,0.766666667,0
batter,battered,regular,1,4.933333333,689.82,-0.26,1,0
bawl,bawled,regular,0.93,4.586206897,707.46,-0.07,0.9,0
bayonet,bayonetted,regular,1,5.793103448,863.09,0.48,0.827586207,0
bead,beaded,regular,0.5,4.516129032,876.89,0.72,0.793103448,0
bear,beared/bore,other,0.14,3.346153846,840.37,0.6,0.602272727,0.193181818
beat,beat,irregular,0.1,5.8,934.79,1.18,0.461538462,0.205128205
become,became,irregular,0.17,3.806451613,773.91,0.16,0.908045977,0.011494253
bed,bedded,regular,0.78,4.857142857,785.05,0.37,0.766666667,0
befall,befell,irregular,0.13,2.1,879.82,0.72,0.738636364,0.102272727
befit,befitted,regular,0.5,3.625,850.13,0.48,0.931034483,0
befuddle,befuddled,regular,1,2.2,707.04,-0.2,0.931034483,0
beget,begot,irregular,0.12,3.363636364,952.08,0.78,0.625,0.227272727
begin,began,irregular,0.08,3.258064516,805.84,0.43,0.704545455,0.011363636
begrudge,begrudged,regular,1,2.80952381,787.93,0.19,1,0
behave,behaved,regular,1,3.636363636,664.63,-0.39,0.965517241,0
behold,beheld,irregular,0.4,3.333333333,799.7,0.25,0.850574713,0.068965517
belay,belayed,regular,1,2.583333333,750.44,-0.03,0.862068966,0
beleaguer,beleaguered,regular,1,2.6,787.22,0.32,0.633333333,0
believe,believed,regular,0.67,3.7,675.88,-0.28,0.896551724,0
bell,belled,regular,0.69,4,924.04,0.81,0.896551724,0
belong,belonged,regular,1,3.090909091,747.29,-0.02,0.866666667,0
bemoan,bemoaned,regular,1,2.677419355,731.96,0.01,0.862068966,0
benefit,benefited,regular,1,3.038461538,677.79,-0.35,0.966666667,0
berate,berated,regular,1,4.5,805.79,0.28,0.933333333,0
beseech,beseeched/besought,other,1,3.142857143,829.08,0.44,0.761363636,0.079545455
beset,beset,irregular,0.38,2.258064516,859.95,0.62,0.67816092,0.137931034
bespeak,bespoke,irregular,0.13,2.678571429,939.83,0.96,0.840909091,0.068181818
bestow,bestowed,regular,0.77,3.482758621,762.25,0.13,0.965517241,0
bestride,bestrode,irregular,1,3.869565217,898.53,0.85,0.620689655,0.275862069
betake,betook,irregular,1,2.766666667,906.46,0.88,0.840909091,0.034090909
betoken,betokened,regular,1,2.421052632,859.79,0.93,0.517241379,0
better,bettered,regular,1,2.307692308,764.13,0.12,1,0
bewitch,bewitched,regular,1,3.965517241,698.85,-0.27,0.965517241,0
bicker,bickered,regular,1,4.413793103,713.37,-0.31,0.933333333,0
bid,bid/bade,other,0.2,4.258064516,893.8,0.84,0.636363636,0.125
bide,bided/bode,other,0.27,3.461538462,769.75,0.13,0.4,0.133333333
billet,billeted,regular,1,3.68,887.71,0.86,0.862068966,0
bind,bound,irregular,0.57,5.8,895.61,0.7,0.551724138,0.344827586
bisect,bisected,regular,1,4.322580645,880.31,0.38,0.9,0
bite,bit,irregular,0.17,6.064516129,865.3,0.52,0.701149425,0.057471264
bivouac,bivouacked,regular,1,4.55,1015.33,1.42,0.266666667,0
blacken,blackened,regular,1,4.566666667,687.86,-0.26,0.965517241,0
blame,blamed,regular,1,4.419354839,673.93,-0.43,0.9,0
blanket,blanketed,regular,1,4.838709677,725.67,-0.09,0.931034483,0
blast,blasted,regular,0.67,5.575757576,695.5,-0.23,0.965517241,0
bleach,bleached,regular,0.83,5.677419355,773.7,0.12,0.9,0
bleat,bleated,regular,1,4.47826087,777.76,0.42,0.733333333,0
bleed,bled,irregular,0.44,5.709677419,749.52,0.02,0.95505618,0.011235955
bless,blessed,regular,1,4.272727273,687.57,-0.28,1,0
blind,blinded,regular,0.43,4.3,779.38,0.18,0.931034483,0
blink,blinked,regular,0.4,6.129032258,815.75,0.3,0.8,0
blitz,blitzed,regular,1,3.903225806,755.54,0.01,0.965517241,0
block,blocked,regular,1,5.032258065,662.56,-0.35,0.9,0
blood,blooded,regular,0.8,4.633333333,867.44,0.68,0.666666667,0
blossom,blossomed,regular,1,6.03125,720.03,-0.12,1,0
blow,blew,irregular,0.19,5.516129032,830.79,0.39,0.781609195,0.022988506
blubber,blubbered,regular,1,4.222222222,749.92,0.06,0.896551724,0
bluff,bluffed,regular,1,3.807692308,705.03,-0.25,1,0
blunt,blunted,regular,1,3.892857143,804.2,0.33,0.896551724,0
blush,blushed,regular,1,6.142857143,681.32,-0.32,0.965517241,0
board,boarded,regular,1,4.64516129,788.52,0.2,0.931034483,0
boat,boated,regular,1,4.6,789.52,0.17,0.896551724,0
bode,boded,regular,1,2.185185185,780.29,0.37,0.655172414,0
boil,boiled,regular,0.88,6.266666667,662.46,-0.48,0.933333333,0
bolt,bolted,regular,1,4.769230769,670.41,-0.35,0.931034483,0
bombard,bombarded,regular,1,4.903225806,718.96,-0.05,0.896551724,0
boo,booed,regular,0.96,4.366666667,879.14,0.55,0.733333333,0
boom,boomed,regular,1,4.566666667,716.42,-0.11,0.655172414,0
booze,boozed,regular,0.78,5.129032258,821.26,0.39,0.766666667,0
border,bordered,regular,1,3.78125,661.96,-0.46,0.931034483,0
borrow,borrowed,regular,1,4.607142857,672.67,-0.36,0.931034483,0
botch,botched,regular,1,3.46875,697.66,-0.33,0.966666667,0
bottle,bottled,regular,1,4.677419355,653.1,-0.46,1,0
bound,bounded,regular,1,3.870967742,750.75,0.23,0.724137931,0
bowl,bowled,regular,1,5.483870968,727.77,-0.03,0.866666667,0
boycott,boycotted,regular,1,4.151515152,676.74,-0.36,0.965517241,0
bracket,bracketed,regular,1,3.166666667,697.61,-0.22,0.965517241,0
braid,braided,regular,1,5.566666667,692.19,-0.19,0.862068966,0
brake,braked,regular,0.69,5.633333333,859.38,0.54,0.517241379,0
brand,branded,regular,0.86,4.857142857,756.5,0.05,0.965517241,0
brave,braved,regular,1,3.741935484,797.32,0.44,0.862068966,0
breach,breached,regular,0.83,3.866666667,789.74,0.15,0.896551724,0
break,broke,irregular,0.13,6.517241379,861.38,0.5,0.761363636,0.068181818
breastfeed,breastfed,irregular,1,5.677419355,889.85,0.69,0.931818182,0.011363636
breathe,breathed,regular,0.8,5.75,894.39,0.9,0.689655172,0
breed,bred,irregular,0.44,4,805.05,0.17,0.875,0.079545455
bribe,bribed,regular,1,4.6,765.52,-0.03,0.964285714,0
bridle,bridled,regular,1,4.346153846,714,-0.09,0.833333333,0
brighten,brightened,regular,1,4.576923077,684.04,-0.34,0.965517241,0
bring,brought,irregular,0.06,4.7,813.96,0.35,0.681818182,0
bristle,bristled,regular,1,4.6,723.28,-0.09,0.966666667,0
broaden,broadened,regular,1,4.25,682.93,-0.3,0.966666667,0
broil,broiled,regular,1,6.166666667,705.07,-0.21,1,0
brood,brooded,regular,1,3.962962963,821.6,0.21,0.571428571,0
brown,browned,regular,1,4.2,781.04,0.18,0.965517241,0
bruise,bruised,regular,0.78,5.333333333,667.38,-0.27,0.827586207,0
brutalize,brutalized,regular,1,5.433333333,817.72,0.28,0.896551724,0
buck,bucked,regular,1,4.636363636,687.7,-0.29,1,0
bud,budded,regular,1,4.34375,903.39,0.8,0.965517241,0
budget,budgeted,regular,1,3.848484848,679.52,-0.3,0.9,0
bug,bugged,regular,1,3.633333333,722.86,-0.13,1,0
build,built,irregular,0.5,5.866666667,782.62,0.23,0.842696629,0.101123596
bulge,bulged,regular,1,4.878787879,698.79,-0.23,1,0
bully,bullied,regular,1,5.181818182,712.89,-0.26,0.965517241,0
bumble,bumbled,regular,1,4.103448276,675.53,-0.41,1,0
bunch,bunched,regular,1,4.366666667,710.55,-0.2,1,0
bung,bunged,regular,1,3.434782609,933.11,1.01,0.666666667,0
buoy,buoyed,regular,1,4.272727273,954.67,1.03,0.566666667,0
burden,burdened,regular,1,3.709677419,680.1,-0.35,1,0
burgle,burgled,regular,1,4.096774194,755.67,-0.06,0.966666667,0
burn,burned/burnt,other,0.25,6.060606061,663.6,-0.41,0.977272727,0
burnish,burnished,regular,1,3.709677419,687.71,-0.28,0.933333333,0
burrow,burrowed,regular,1,5.173913043,791.28,0.18,1,0
burst,burst,irregular,0.5,5.516129032,805.89,0.24,0.719101124,0.258426966
bus,bused,regular,1,4.655172414,720.88,0.02,0.862068966,0
bustle,bustled,regular,1,3.928571429,680.8,-0.33,1,0
butcher,butchered,regular,1,6.166666667,678.1,-0.34,1,0
butter,buttered,regular,1,5.5,666.72,-0.42,0.966666667,0
buttress,buttressed,regular,1,3.333333333,832.36,0.4,0.866666667,0
buy,bought,irregular,0.06,5.642857143,852.04,0.58,0.897727273,0.068181818
bypass,bypassed,regular,1,4.5,693.1,-0.23,1,0
cackle,cackled,regular,1,5.9,683.04,-0.41,0.896551724,0
cage,caged,regular,1,5.346153846,637.61,-0.53,0.965517241,0
cake,caked,regular,0.69,4.115384615,753.9,-0.02,1,0
call,called,regular,0.93,4.967741935,744.75,-0.16,0.933333333,0
calve,calved,regular,1,3.851851852,849.96,0.52,0.866666667,0
camp,camped,regular,1,5.32,645.81,-0.6,0.896551724,0
cancel,canceled,regular,1,2.939393939,585.86,-0.86,1,0
canonize,canonized,regular,1,3.16,774.29,0.17,0.933333333,0
canter,cantered,regular,1,4.481481481,659.28,-0.46,1,0
caparison,caparisoned,regular,1,3.904761905,862.4,1.07,0.413793103,0
capitalize,capitalized,regular,1,4.516129032,660.14,-0.49,1,0
capsize,capsized,regular,1,5.633333333,707.57,-0.21,1,0
captivate,captivated,regular,1,4.290322581,655.5,-0.41,0.965517241,0
care,cared,regular,0.86,4.290322581,725.32,-0.15,0.933333333,0
career,careered,regular,0.94,3.766666667,813.24,0.26,0.862068966,0
caricature,caricatured,regular,1,5.074074074,867.7,0.77,0.9,0
carp,carped,regular,1,2.714285714,707.96,-0.2,0.966666667,0
carry,carried,regular,1,5.307692308,690.04,-0.3,0.965517241,0
carve,carved,regular,1,5.516129032,722.93,-0.27,0.966666667,0
case,cased,regular,1,3.709677419,820.17,0.25,0.862068966,0
cast,cast,irregular,0.33,4.161290323,701.34,-0.33,0.735632184,0.229885057
castigate,castigated,regular,1,4,745.96,-0.01,0.965517241,0
catalogue,catalogued,regular,1,4.172413793,711.48,-0.21,0.966666667,0
catch,caught,irregular,0.14,5.571428571,827.29,0.37,0.730337079,0.168539326
cater,catered,regular,1,4.4,681.79,-0.3,1,0
caution,cautioned,regular,1,3.838709677,683.54,-0.35,1,0
caw,cawed,regular,1,3.88,731.56,-0.01,0.866666667,0
cede,ceded,regular,0.56,2.724137931,815.26,0.37,0.9,0
cement,cemented,regular,1,4.741935484,724.96,-0.18,0.965517241,0
censure,censured,regular,1,4.148148148,730.16,-0.03,0.892857143,0
center,centered,regular,1,4.129032258,675.96,-0.36,0.933333333,0
chafe,chafed,regular,1,3.766666667,761.58,0.03,0.896551724,0
chagrin,chagrined,regular,0.85,3.285714286,879.35,0.6,0.7,0
chair,chaired,regular,0.86,4.193548387,698.04,-0.31,0.933333333,0
challenge,challenged,regular,1,4.741935484,619.83,-0.63,1,0
chance,chanced,regular,1,3.516129032,676.88,-0.35,0.866666667,0
channel,channeled,regular,1,4.192307692,645.53,-0.53,1,0
chap,chapped,regular,0.95,3.965517241,755.85,0.03,0.931034483,0
char,charred,regular,1,4.291666667,732.27,0.08,0.931034483,0
charge,charged,regular,1,4.566666667,603.2,-0.72,1,0
chart,charted,regular,1,4.709677419,655.48,-0.5,1,0
chase,chased,regular,1,5.5,753.64,-0.19,0.965517241,0
chastise,chastised,regular,0.75,3.173913043,714.44,-0.12,0.9,0
chatter,chattered,regular,1,5.064516129,636.41,-0.58,1,0
cheat,cheated,regular,0.7,3.4,745.55,-0.19,1,0
checker,checkered,regular,1,4,670,-0.41,0.965517241,0
cheek,cheeked,regular,0.88,3.259259259,833.67,0.27,0.827586207,0
chew,chewed,regular,0.96,6.566666667,758.69,-0.22,0.966666667,0
chill,chilled,regular,1,4.833333333,623.23,-0.68,1,0
chip,chipped,regular,0.82,4.925925926,629.83,-0.62,1,0
chisel,chiseled,regular,1,5.903225806,683.38,-0.37,1,0
chomp,chomped,regular,1,4.966666667,674.93,-0.4,0.965517241,0
choose,chose,irregular,0.11,4.307692308,716.69,-0.2,0.852272727,0.022727273
chorus,chorused,regular,1,3.909090909,819.39,0.37,1,0
chronicle,chronicled,regular,1,3.15625,708.89,-0.09,0.931034483,0
chuckle,chuckled,regular,1,5.2,616.57,-0.7,0.933333333,0
churn,churned,regular,0.78,4.892857143,697.04,-0.28,0.965517241,0
circle,circled,regular,1,5.464285714,719.52,-0.16,0.964285714,0
circumcise,circumcised,regular,1,5.53125,867.21,0.54,1,0
circumvent,circumvented,regular,1,4.266666667,795.52,0.35,0.965517241,0
civilize,civilized,regular,1,2.533333333,728.71,-0.16,0.965517241,0
claim,claimed,regular,1,2.878787879,690.89,-0.27,0.933333333,0
clamor,clamored,regular,1,4.217391304,672.9,-0.36,1,0
clang,clanged,regular,0.8,4.666666667,824.18,0.37,0.551724138,0
clap,clapped,regular,0.95,5.857142857,715.43,-0.15,1,0
clash,clashed,regular,1,4.692307692,637.07,-0.59,1,0
class,classed,regular,0.8,3.806451613,792.81,0.08,0.965517241,0
clatter,clattered,regular,1,4.4,697.93,-0.2,1,0
clean,cleaned,regular,0.88,5.612903226,759.48,0.05,0.793103448,0
clear,cleared,regular,0.94,4.6,703.55,0.01,0.793103448,0
clench,clenched,regular,1,5.285714286,745.07,-0.05,1,0
click,clicked,regular,0.93,5.848484848,696.25,-0.2,0.965517241,0
climb,climbed,regular,1,5.692307692,837.73,0.36,0.862068966,0
cling,clung,irregular,0.5,5.090909091,777.41,0.2,0.818181818,0.079545455
clink,clinked,regular,0.4,4.2,814.59,0.24,0.633333333,0
cloak,cloaked,regular,1,4.625,701.85,-0.21,0.931034483,0
clock,clocked,regular,1,4.545454545,734.85,-0.02,0.931034483,0
cloister,cloistered,regular,1,3.357142857,765.76,0.15,0.931034483,0
closet,closeted,regular,1,3.28125,807.15,0.31,0.931034483,0
clothe,clothed,regular,1,5.161290323,711.78,-0.18,0.931034483,0
clout,clouted,regular,1,3.655172414,803.96,0.22,0.933333333,0
cloy,cloyed,regular,1,3.45,797.5,0.48,0.931034483,0
cluck,clucked,regular,1,5.1,711.55,-0.17,0.966666667,0
cluster,clustered,regular,1,4.212121212,655,-0.5,0.966666667,0
clutter,cluttered,regular,1,4.290322581,704.21,-0.23,1,0
coagulate,coagulated,regular,1,4.071428571,907,0.69,0.9,0
coalesce,coalesced,regular,0.89,3.833333333,893.63,0.65,0.833333333,0
coast,coasted,regular,1,4.366666667,708.71,-0.2,0.965517241,0
coax,coaxed,regular,1,3.0625,696.86,-0.29,0.933333333,0
cock,cocked,regular,1,4.181818182,810.17,0.28,0.966666667,0
coddle,coddled,regular,1,3.774193548,703.1,-0.21,1,0
codify,codified,regular,1,3.379310345,830.33,0.31,0.931034483,0
coexist,coexisted,regular,1,3.64516129,715.04,-0.1,0.966666667,0
coin,coined,regular,1,4.064516129,713.35,-0.13,0.896551724,0
collaborate,collaborated,regular,1,3.4375,712.96,-0.12,1,0
collate,collated,regular,1,3.827586207,934.4,0.88,0.689655172,0
collectivize,collectivized,regular,1,2.709677419,872.78,0.72,0.931034483,0
collude,colluded,regular,1,2.130434783,765.27,0.13,0.9,0
color,colored,regular,1,5.1,696.86,-0.27,0.966666667,0
combat,combatted,regular,1,4.966666667,773.83,0.11,1,0
come,came,irregular,0.09,4.181818182,813.89,0.34,0.88372093,0
comfort,comforted,regular,1,4.423076923,669.86,-0.46,0.966666667,0
commandeer,commandeered,regular,1,4.233333333,768.7,0.08,0.666666667,0
commence,commenced,regular,1,4.44,711.86,-0.12,0.965517241,0
comment,commented,regular,1,4.730769231,682,-0.31,0.931034483,0
commission,commissioned,regular,1,2.625,761.69,0.16,1,0
commune,communed,regular,1,3.774193548,702.43,-0.23,0.793103448,0
commute,commuted,regular,0.9,4.483870968,784.68,0.3,0.933333333,0
compartmentalize,compartmentalized,regular,1,3.586206897,933.52,0.87,0.9,0
compensate,compensated,regular,1,4.548387097,670.59,-0.39,1,0
compile,compiled,regular,1,3.566666667,735.35,-0.04,0.928571429,0
complain,complained,regular,1,4.03125,749.15,-0.04,0.965517241,0
complement,complemented,regular,1,3.878787879,729.7,-0.08,1,0
complicate,complicated,regular,1,2.928571429,658.86,-0.48,1,0
comply,complied,regular,0.84,2.636363636,711.89,-0.22,0.931034483,0
compost,composted,regular,1,4.52,899.29,0.58,0.566666667,0
comprehend,comprehended,regular,0.58,2.848484848,651.7,-0.41,0.931034483,0
comprise,comprised,regular,0.75,3.935483871,683.96,-0.14,0.862068966,0
compute,computed,regular,0.9,3.9,769.71,0.18,0.8,0
con,conned,regular,1,3.714285714,726.5,-0.08,0.965517241,0
concede,conceded,regular,0.59,3.233333333,752.59,0.08,0.931034483,0
concentrate,concentrated,regular,1,3.545454545,736.56,-0.03,0.933333333,0
conclude,concluded,regular,1,3,671.21,-0.42,0.827586207,0
concur,concurred,regular,1,3.307692308,689.62,-0.24,0.866666667,0
condense,condensed,regular,1,3.666666667,768.79,0.13,0.965517241,0
condition,conditioned,regular,1,3.064516129,763.67,0.02,0.965517241,0
conduct,conducted,regular,1,3.935483871,705.7,-0.2,1,0
confess,confessed,regular,0.89,4.677419355,704.64,-0.13,0.966666667,0
confine,confined,regular,0.9,4.833333333,745.75,0.13,0.965517241,0
confiscate,confiscated,regular,1,5,685.21,-0.3,0.966666667,0
conform,conformed,regular,1,3.935483871,724.29,-0.06,0.833333333,0
confront,confronted,regular,1,4.806451613,703.39,-0.23,0.965517241,0
congeal,congealed,regular,0.71,4.5,819.76,0.21,0.866666667,0
congregate,congregated,regular,1,4.5,741.77,-0.08,0.866666667,0
conjure,conjured,regular,1,4.633333333,781.64,0.21,0.793103448,0
connive,connived,regular,0.63,3.6,836.62,0.49,0.896551724,0
conquer,conquered,regular,1,4.818181818,679.82,-0.29,1,0
consecrate,consecrated,regular,1,3.962962963,798.62,0.27,0.931034483,0
conserve,conserved,regular,1,3.423076923,749.82,0.06,0.933333333,0
consign,consigned,regular,1,3.633333333,814.5,0.38,0.933333333,0
consolidate,consolidated,regular,1,3,771.52,0.18,0.931034483,0
constitute,constituted,regular,1,3.115384615,756,-0.14,0.896551724,0
constrict,constricted,regular,1,4.6,750.48,0.06,0.931034483,0
construe,construed,regular,0.89,3.115384615,721.48,-0.12,1,0
consume,consumed,regular,1,5.074074074,671.11,-0.47,0.965517241,0
contact,contacted,regular,1,5,665.22,-0.42,0.9,0
contaminate,contaminated,regular,1,4.115384615,794,0.21,0.862068966,0
contend,contended,regular,0.58,2.727272727,733.86,-0.11,0.933333333,0
contest,contested,regular,1,4.161290323,720.09,-0.2,0.793103448,0
contort,contorted,regular,1,4.642857143,743.27,0.01,0.931034483,0
