word_german,word_english,letters_N,frequency_per_million,frequency_class,valence_M_young_female,valence_M_young_male,valence_M_old_female,valence_M_old_male,valence_M_young,valence_M_old,valence_M,arousal_M_young_female,arousal_M_young_male,arousal_M_old_female,arousal_M_old_male,arousal_M_young,arousal_M_old,arousal_M,control_M_young_female,control_M_young_male,control_M_old_female,control_M_old_male,control_M_young,control_M_old,control_M,imagine_M_young_female,imagine_M_young_male,imagine_M_old_female,imagine_M_old_male,imagine_M_young,imagine_M_old,imagine_M,selfrelevance_M_young_female,selfrelevance_M_young_male,selfrelevance_M_old_female,selfrelevance_M_old_male,selfrelevance_M_young,selfrelevance_M_old,selfrelevance_M,agerelevance_M_young_female,agerelevance_M_young_male,agerelevance_M_old_female,agerelevance_M_old_male,agerelevance_M_young,agerelevance_M_old,agerelevance_M,valence_M_self,valence_M_other,self_or_other_M,self_or_other_SD,self_or_other_class,valence_anova_p_age,valence_anova_etasquared_age,valence_anova_significant_age,valence_anova_p_sex,valence_anova_etasquared_sex,valence_anova_significant_sex,valence_anova_p_age_sex,valence_anova_etasquared_age_sex,valence_anova_significant_age_sex,arousal_anova_p_age,arousal_anova_etasquared_age,arousal_anova_significant_age,arousal_anova_p_sex,arousal_anova_etasquared_sex,arousal_anova_significant_sex,arousal_anova_p_age_sex,arousal_anova_etasquared_age_sex,arousal_anova_significant_age_sex,control_anova_p_age,control_anova_etasquared_age,control_anova_significant_age,control_anova_p_sex,control_anova_etasquared_sex,control_anova_significant_sex,control_anova_p_age_sex,control_anova_etasquared_age_sex,control_anova_significant_age_sex,imagine_anova_p_age,imagine_anova_etasquared_age,imagine_anova_significant_age,imagine_anova_p_sex,imagine_anova_etasquared_sex,imagine_anova_significant_sex,imagine_anova_p_age_sex,imagine_anova_etasquared_age_sex,imagine_anova_significant_age_sex,selfrelevance_anova_p_age,selfrelevance_anova_etasquared_age,selfrelevance_anova_significant_age,selfrelevance_anova_p_sex,selfrelevance_anova_etasquared_sex,selfrelevance_anova_significant_sex,selfrelevance_anova_p_age_sex,selfrelevance_anova_etasquared_age_sex,selfrelevance_anova_significant_age_sex,agerelevance_anova_p_age,agerelevance_anova_etasquared_age,agerelevance_anova_significant_age,agerelevance_anova_p_sex,agerelevance_anova_etasquared_sex,agerelevance_anova_significant_sex,agerelevance_anova_p_age_sex,agerelevance_anova_etasquared_age_sex,agerelevance_anova_significant_age_sex
angenehm,pleasant,8,10.39,11,6.5,6.417,6.5,6,6.458,6.25,6.354,1.5,1.5,1.417,2,1.5,1.708,1.604,5.333,4.5,4.75,4.167,4.917,4.458,4.688,4,4.083,4.75,4.1,4.042,4.455,4.239,6.25,5.583,5.333,4.909,5.917,5.13,5.532,3.25,2.833,3.417,3.167,3.042,3.292,3.167,6.267,6.5,1.125,0.354,1,0.361,0.019,0,0.203,0.037,0,0.361,0.019,0,0.409,0.016,0,0.249,0.03,0,0.249,0.03,0,0.356,0.019,0,0.157,0.045,0,0.8,0.001,0,0.516,0.01,0,0.63,0.006,0,0.534,0.009,0,0.014,0.132,1,0.086,0.067,0,0.698,0.004,0,0.139,0.049,0,0.05,0.084,0,0.618,0.006,0
angepasst,conformist,8,7.722,12,2.667,2.417,4.167,3.75,2.542,3.958,3.25,4.75,4.583,2.583,4,4.667,3.292,3.979,2.5,3.25,5.083,3.833,2.875,4.458,3.667,2.182,3.083,3.417,3,2.652,3.208,2.936,3.5,3.5,4.25,3.917,3.5,4.083,3.792,3.833,3.833,3.833,3.25,3.833,3.542,3.688,3.813,3.813,1.208,0.333,1,0.001,0.228,1,0.401,0.016,0,0.833,0.001,0,0,0.256,1,0.084,0.066,0,0.03,0.102,1,0.001,0.215,1,0.586,0.007,0,0.034,0.098,1,0.243,0.032,0,0.621,0.006,0,0.183,0.041,0,0.237,0.032,0,0.734,0.003,0,0.734,0.003,0,0.265,0.028,0,0.265,0.028,0,0.265,0.028,0
angeregt,inspired,8,8.621,12,5.333,5.417,4.727,5.75,5.375,5.261,5.319,4.333,4.167,3.917,4.5,4.25,4.208,4.229,5,4.25,4.583,4.667,4.625,4.625,4.625,3.667,3.75,4.75,4.583,3.708,4.667,4.188,5.25,5,5.636,4.917,5.125,5.261,5.191,2.5,2.333,2.5,2.583,2.417,2.542,2.479,6,5.563,1.917,0.333,2,0.679,0.004,0,0.098,0.062,0,0.158,0.046,0,0.916,0,0,0.6,0.006,0,0.347,0.02,0,1,0,0,0.319,0.023,0,0.215,0.035,0,0.073,0.071,0,0.937,0,0,0.812,0.001,0,0.536,0.009,0,0.052,0.085,0,0.339,0.021,0,0.557,0.008,0,0.845,0.001,0,0.557,0.008,0
angespannt,tense,10,4.28,13,2.333,2.167,2.667,3.25,2.25,2.958,2.604,6.25,6.333,5.417,5.727,6.292,5.565,5.936,3.667,3.5,4.333,6,3.583,5.167,4.375,4.5,4.583,4.167,4,4.542,4.083,4.313,4,3.25,3.167,3.5,3.625,3.333,3.479,2.75,2.583,2.583,2.417,2.667,2.5,2.583,2.267,2.563,1.833,0.441,2,0.047,0.087,1,0.55,0.008,0,0.285,0.026,0,0.024,0.112,1,0.527,0.009,0,0.714,0.003,0,0,0.258,1,0.07,0.073,0,0.028,0.105,1,0.32,0.022,0,0.928,0,0,0.785,0.002,0,0.516,0.01,0,0.643,0.005,0,0.231,0.032,0,0.448,0.013,0,0.448,0.013,0,1,0,0
aengstlich,afraid,9,6.332,12,2.417,2.25,2.583,2.583,2.333,2.583,2.458,5.5,5.5,5.417,4,5.5,4.708,5.104,1.833,1.917,2.182,2.667,1.875,2.435,2.149,5.417,5.917,4.917,5.333,5.667,5.125,5.396,3.25,2.5,2.75,2.25,2.875,2.5,2.688,3.667,3.667,4.083,3.583,3.667,3.833,3.75,1.75,2.063,2,0,2,0.337,0.021,0,0.748,0.002,0,0.748,0.002,0,0.034,0.098,1,0.056,0.08,0,0.056,0.08,0,0.072,0.073,0,0.346,0.021,0,0.505,0.01,0,0.209,0.036,0,0.287,0.026,0,0.922,0,0,0.34,0.021,0,0.115,0.056,0,0.749,0.002,0,0.41,0.016,0,0.218,0.034,0,0.218,0.034,0
arrogant,arrogant,8,3.317,13,2.583,2,1.917,1.833,2.292,1.875,2.083,5.333,5.667,6,5.583,5.5,5.792,5.646,5.417,5,5.083,4.583,5.208,4.833,5.021,5,5.083,4.75,5.333,5.043,5.042,5.043,3.5,3,1.5,2.083,3.25,1.792,2.521,2.333,2.5,2.333,2.583,2.417,2.458,2.438,2.063,1.625,1.042,0.167,1,0.3,0.024,0,0.406,0.016,0,0.533,0.009,0,0.428,0.014,0,0.91,0,0,0.31,0.023,0,0.445,0.013,0,0.351,0.02,0,0.932,0,0,1,0,0,0.559,0.008,0,0.661,0.005,0,0.002,0.202,1,0.925,0,0,0.222,0.034,0,0.869,0.001,0,0.411,0.015,0,0.869,0.001,0
attraktiv,attractive,9,13.839,11,6.667,6.25,5.583,6.333,6.458,5.958,6.208,2.75,3.417,3.5,4.25,3.083,3.875,3.479,4.667,4.75,4.333,4.75,4.708,4.542,4.625,6.636,6.417,6.083,6.167,6.522,6.125,6.319,5.417,5.25,4.917,3.75,5.333,4.333,4.833,2.083,1.583,2.25,1.917,1.833,2.083,1.958,6.438,5.813,1.375,0.441,1,0.05,0.085,0,0.505,0.01,0,0.023,0.112,1,0.079,0.068,0,0.115,0.056,0,0.925,0,0,0.728,0.003,0,0.602,0.006,0,0.728,0.003,0,0.14,0.05,0,0.8,0.002,0,0.574,0.007,0,0.002,0.193,1,0.036,0.096,1,0.113,0.056,0,0.257,0.029,0,0.062,0.077,0,0.704,0.003,0
aufbrausend,quick-tempered,11,0.376,16,2.917,2.75,1.667,2.083,2.833,1.875,2.354,6.167,5.75,6.583,6.5,5.958,6.542,6.25,2.917,3.25,3.75,2.25,3.083,3,3.042,4.833,5.833,4.667,4.917,5.333,4.792,5.063,3.5,3.5,2.917,2.5,3.5,2.708,3.104,2.25,2.25,2.417,2,2.25,2.208,2.229,2.688,2.375,1.083,0.167,1,0,0.252,1,0.618,0.006,0,0.248,0.03,0,0.006,0.158,1,0.225,0.033,0,0.417,0.015,0,0.879,0.001,0,0.289,0.026,0,0.098,0.061,0,0.349,0.02,0,0.281,0.026,0,0.516,0.01,0,0.109,0.057,0,0.669,0.004,0,0.669,0.004,0,0.869,0.001,0,0.412,0.015,0,0.412,0.015,0
aufgewuehlt,agitated,10,1.217,14,3.25,3.167,3,3.167,3.208,3.083,3.146,6,5.667,6.083,6.417,5.833,6.25,6.042,2.833,2.667,4.167,4.167,2.75,4.167,3.458,4,4.583,5.083,4.417,4.292,4.75,4.521,3.583,3.583,3.583,3.25,3.583,3.417,3.5,2.417,1.917,2.167,2.083,2.167,2.125,2.146,3.25,3.375,2,0,2,0.707,0.003,0,0.9,0,0,0.707,0.003,0,0.11,0.057,0,1,0,0,0.199,0.037,0,0.003,0.189,1,0.852,0.001,0,0.852,0.001,0,0.393,0.017,0,0.938,0,0,0.245,0.031,0,0.713,0.003,0,0.713,0.003,0,0.713,0.003,0,0.863,0.001,0,0.231,0.032,0,0.39,0.017,0
aufmerksam,attentive,10,27.967,10,5.667,5.583,6.25,5.833,5.625,6.042,5.833,4.083,4.333,5.083,5.636,4.208,5.348,4.766,6,6,5.083,5.833,6,5.458,5.729,3.833,4.583,5.167,5,4.208,5.083,4.646,6.167,5.667,5.833,5.833,5.917,5.833,5.875,3.083,2.833,2.75,2.667,2.958,2.708,2.833,6.25,6.188,1.583,0.5,2,0.135,0.05,0,0.366,0.019,0,0.545,0.008,0,0.02,0.119,1,0.405,0.016,0,0.753,0.002,0,0.162,0.044,0,0.33,0.022,0,0.33,0.022,0,0.067,0.074,0,0.534,0.009,0,0.33,0.022,0,0.768,0.002,0,0.378,0.018,0,0.378,0.018,0,0.222,0.034,0,0.413,0.015,0,0.682,0.004,0
ausdauernd,persistent,10,1.174,14,5.417,5.75,6.083,6.25,5.583,6.167,5.875,4.417,4.25,3.333,4.167,4.333,3.75,4.042,5.583,6.167,5.5,5.333,5.875,5.417,5.646,4,3.667,4.25,4.25,3.833,4.25,4.042,5.25,5.083,6.083,5.5,5.167,5.792,5.479,2.75,2.083,3.25,2.583,2.417,2.917,2.667,6.25,5.625,2,0,2,0.009,0.144,1,0.25,0.03,0,0.7,0.003,0,0.186,0.039,0,0.447,0.013,0,0.256,0.029,0,0.182,0.04,0,0.541,0.009,0,0.273,0.027,0,0.446,0.013,0,0.76,0.002,0,0.76,0.002,0,0.059,0.078,0,0.252,0.03,0,0.522,0.009,0,0.084,0.066,0,0.023,0.112,1,1,0,0
ausgeglichen,balanced,12,11.467,11,6.75,6.25,6.417,6.083,6.5,6.25,6.375,1.667,2.417,2.417,2.5,2.042,2.458,2.25,5.667,5,4.75,5.083,5.333,4.917,5.125,3.75,3.5,4.5,2.833,3.625,3.667,3.646,4.917,4.083,5.333,5,4.5,5.167,4.833,3.333,4.083,3.833,4.083,3.708,3.958,3.833,6.813,6.375,1.833,0.22,2,0.303,0.024,0,0.089,0.064,0,0.73,0.003,0,0.229,0.033,0,0.229,0.033,0,0.334,0.021,0,0.366,0.019,0,0.717,0.003,0,0.279,0.027,0,0.931,0,0,0.052,0.083,0,0.148,0.047,0,0.141,0.049,0,0.197,0.038,0,0.577,0.007,0,0.134,0.05,0,0.004,0.175,1,0.134,0.05,0
autoritaer,authoritarian,9,1.537,14,2.75,2.167,2.167,2.083,2.458,2.125,2.292,5.167,5.75,5.5,5.917,5.458,5.708,5.583,5.5,5.917,5.167,4.667,5.708,4.917,5.313,4.75,5.75,4.333,5.417,5.25,4.875,5.063,3.25,2.917,4.083,2.917,3.083,3.5,3.292,3.917,3.5,3.818,3.25,3.708,3.522,3.617,3,1.875,1,0,1,0.322,0.022,0,0.322,0.022,0,0.457,0.013,0,0.446,0.013,0,0.131,0.051,0,0.799,0.001,0,0.073,0.071,0,0.923,0,0,0.294,0.025,0,0.515,0.01,0,0.075,0.07,0,0.942,0,0,0.457,0.013,0,0.184,0.04,0,0.457,0.013,0,0.589,0.007,0,0.132,0.052,0,0.814,0.001,0
bedaechtig,deliberate,9,1.866,14,4.25,3.833,4.917,4.25,4.042,4.583,4.313,2.917,2.917,2.5,3.083,2.917,2.792,2.854,5,5,4.167,3.833,5,4,4.5,3.583,3.417,4.5,3.5,3.5,4,3.75,3.917,4,4.5,4.667,3.958,4.583,4.271,4,4.167,3.917,4,4.083,3.958,4.021,5,5.438,1.833,0.333,2,0.089,0.064,0,0.089,0.064,0,0.69,0.004,0,0.721,0.003,0,0.406,0.016,0,0.406,0.016,0,0.026,0.108,1,0.703,0.003,0,0.703,0.003,0,0.326,0.022,0,0.253,0.03,0,0.412,0.015,0,0.159,0.045,0,0.776,0.002,0,0.924,0,0,0.422,0.015,0,0.422,0.015,0,0.788,0.002,0
begeistert,enthusiastic,10,24.183,10,6.083,6,6,5.75,6.042,5.875,5.958,4.5,4.083,4.75,4.583,4.292,4.667,4.479,4.833,4.083,3.833,4.583,4.458,4.208,4.333,5.455,6,5.667,5.667,5.739,5.667,5.702,5.667,5,5.917,4.917,5.333,5.417,5.375,2.5,1.917,1.833,2,2.208,1.917,2.063,6.438,6.063,1.708,0.441,2,0.482,0.011,0,0.482,0.011,0,0.725,0.003,0,0.449,0.013,0,0.555,0.008,0,0.8,0.001,0,0.595,0.006,0,1,0,0,0.115,0.055,0,0.883,0.001,0,0.508,0.01,0,0.508,0.01,0,0.789,0.002,0,0.01,0.142,1,0.593,0.007,0,0.175,0.041,0,0.33,0.022,0,0.083,0.067,0
beharrlich,insistent,10,4.207,13,4.25,4.167,5.333,5.5,4.208,5.417,4.813,5.417,4.667,4.833,4.75,5.042,4.792,4.917,5.167,5.25,4.833,5.667,5.208,5.25,5.229,2.917,3.333,4.25,3.083,3.125,3.667,3.396,4.833,4.167,5.667,5.25,4.5,5.458,4.979,3,3,3.417,3.333,3,3.375,3.188,5.5,4.5,1.75,0.441,2,0.002,0.201,1,0.909,0,0,0.732,0.003,0,0.571,0.007,0,0.347,0.02,0,0.451,0.013,0,0.916,0,0,0.252,0.03,0,0.347,0.02,0,0.289,0.025,0,0.462,0.012,0,0.124,0.053,0,0.017,0.123,1,0.166,0.043,0,0.747,0.002,0,0.156,0.045,0,0.873,0.001,0,0.873,0.001,0
beherrscht,self-controlled,10,17.868,11,3.75,3.417,5.667,5.833,3.583,5.75,4.667,4.833,4.167,3.083,3.083,4.5,3.083,3.792,5.167,5,5.364,4.833,5.083,5.087,5.085,3.333,4.25,4.833,3.917,3.792,4.375,4.083,4.583,4,4.909,5.333,4.292,5.13,4.702,3.5,3.5,4.083,3.75,3.5,3.917,3.708,4.688,4.875,1.583,0.464,2,0,0.486,1,0.805,0.001,0,0.46,0.012,0,0.002,0.195,1,0.446,0.013,0,0.446,0.013,0,0.974,0,0,0.463,0.013,0,0.701,0.003,0,0.266,0.028,0,1,0,0,0.084,0.067,0,0.046,0.089,1,0.845,0.001,0,0.22,0.035,0,0.006,0.157,1,0.258,0.029,0,0.258,0.029,0
bekuemmert,troubled,9,1.606,14,2.833,2.5,3.25,3,2.667,3.125,2.896,5.333,5.083,5.667,4.083,5.208,4.875,5.042,2.917,2.667,2.833,3,2.792,2.917,2.854,3.636,4.667,4.667,4.417,4.174,4.542,4.362,3.583,3.333,2.583,3.083,3.458,2.833,3.146,3.667,3.583,3.75,3.667,3.625,3.708,3.667,2.438,3.188,2,0,2,0.147,0.047,0,0.353,0.02,0,0.894,0,0,0.261,0.029,0,0.003,0.183,1,0.028,0.106,1,0.678,0.004,0,0.89,0,0,0.49,0.011,0,0.414,0.016,0,0.414,0.016,0,0.183,0.041,0,0.136,0.05,0,0.763,0.002,0,0.367,0.019,0,0.688,0.004,0,0.688,0.004,0,1,0,0
berechnend,calculating,10,0.484,16,1.583,2.333,1.417,2.083,1.958,1.75,1.854,5.917,5.167,5.167,5.5,5.542,5.333,5.438,5.917,6.083,5.182,5.5,6,5.348,5.681,3.091,2.917,3.417,3.5,3,3.458,3.234,2.167,3.25,2.667,3.083,2.708,2.875,2.792,2.5,2.5,2.417,2.75,2.5,2.583,2.542,3.625,2,1.417,0.441,1,0.461,0.012,0,0.015,0.127,1,0.882,0.001,0,0.49,0.011,0,0.49,0.011,0,0.077,0.069,0,0.089,0.066,0,0.526,0.009,0,0.843,0.001,0,0.443,0.014,0,0.939,0,0,0.827,0.001,0,0.714,0.003,0,0.104,0.059,0,0.464,0.012,0,0.782,0.002,0,0.58,0.007,0,0.58,0.007,0
beschaemt,ashamed,8,1.723,14,2.917,2.333,2.75,3.417,2.625,3.083,2.854,4.833,4.75,4.75,3.909,4.792,4.348,4.574,2.5,2.333,2.5,2.75,2.417,2.625,2.521,4.417,3.917,4.25,3.917,4.167,4.083,4.125,2.75,2.833,2.417,2.833,2.792,2.625,2.708,3.583,2.75,3.083,3.083,3.167,3.083,3.125,2,2.813,1.917,0.333,2,0.191,0.039,0,0.904,0,0,0.077,0.07,0,0.293,0.026,0,0.293,0.026,0,0.388,0.017,0,0.506,0.01,0,0.894,0,0,0.506,0.01,0,0.874,0.001,0,0.431,0.014,0,0.874,0.001,0,0.655,0.005,0,0.503,0.01,0,0.655,0.005,0,0.623,0.006,0,0.017,0.122,1,0.017,0.122,1
bescheiden,modest,10,15.151,11,4.75,5.167,4.5,5.333,4.958,4.917,4.938,3.091,2.667,2.667,2.75,2.87,2.708,2.787,3.917,4.5,4.833,4.833,4.208,4.833,4.521,2.25,2.75,4.167,3.417,2.5,3.792,3.146,4.167,4.333,4.833,4,4.25,4.417,4.333,3.75,4,3.75,3.833,3.875,3.792,3.833,4.938,5.25,1.792,0.441,2,0.892,0,0,0.047,0.086,1,0.5,0.01,0,0.518,0.01,0,0.518,0.01,0,0.337,0.021,0,0.161,0.044,0,0.509,0.01,0,0.509,0.01,0,0.007,0.155,1,0.785,0.002,0,0.176,0.041,0,0.685,0.004,0,0.419,0.015,0,0.227,0.033,0,0.655,0.005,0,0.374,0.018,0,0.655,0.005,0
