en_cue,en_target,ukr_cue,ukr_target,needs_review,suggested_ukr_cue,final_ukr_cue
leave,abandon,піти,залишити,False,,піти
spinal,abdominal,спинальний,живота,False,,спинальний
kidnap,abduct,викрасти,викрадення,False,,викрасти
capacity,ability,потужність,здатність,False,,потужність
out,about,вийшов,про,False,,вийшов
presence,absence,присутність,відсутність,False,,присутність
ridiculous,absurd,нелепо,абсурдно,False,,нелепо
voice,accent,голос,акцент,False,,голос
refuse,accept,відмовитись,прийняти,False,,відмовитись
incident,accident,інцидент,аварія,False,,інцидент
escort,accompany,ескорт,супроводжувати,False,,ескорт
complaint,accusation,скарга,звинувачення,False,,скарга
gesture,act,жест,акт,False,,жест
trigger,activate,спусковий механізм,активувати,False,,спусковий механізм
active,activity,активний,діяльність,False,,активний
author,actor,автор,актор,False,,автор
extra,additional,додатково,додаткові,False,,додатково
number,address,номер,адреса,False,,номер
management,administrative,управління,адміністративний,False,,управління
hormone,adrenaline,гормон,адреналін,False,,гормон
advice,advise,поради,порадити,False,,поради
firm,agency,тверда,агентство,False,,тверда
contract,agreement,контракт,угода,False,,контракт
terminal,airport,термінал,аеропорт,False,,термінал
alert,alarm,попередження,тривожна сигналізація,False,,попередження
motive,alibi,мотив,алібі,False,,мотив
ufo,alien,ufo,інопланетянин,False,,ufo
corner,alley,кут,алея,False,,кут
bravo,alpha,добре,альфа,False,,добре
impressive,amazing,вражаюче,дивовижно,False,,вражаюче
africa,america,африка,америка,False,,африка
sum,amount,сума,сума,True,підсумок,підсумок
autopsy,analysis,аутопсія,аналіз,False,,аутопсія
jealous,angry,ревнивий,злість,False,,ревнивий
beast,animal,звір,тварина,False,,звір
bee,ant,бджола,мурашка,False,,бджола
house,apartment,будинок,квартира,False,,будинок
admire,appreciate,захоплюватися,дякую,False,,захоплюватися
permission,approval,дозвіл,схвалення,False,,дозвіл
engineer,architect,інженер,архітектор,False,,інженер
hand,arm,рука,рука,True,почерк,почерк
shield,armor,щит,броня,False,,щит
arsenal,armory,арсенал,збройна складова,False,,арсенал
legion,army,легіон,армія,False,,легіон
round,around,круглий,навколо,False,,круглий
punish,arrest,покарати,арешт,False,,покарати
ignorance,arrogance,неосвіченість,надмірність,False,,неосвіченість
vein,artery,вена,артерія,False,,вена
natural,artificial,природний,штучний,False,,природний
cavalry,artillery,кавалерія,артилерія,False,,кавалерія
question,ask,питання,запитай,False,,питання
mercenary,assassin,найманник,вбивця,False,,найманник
help,assist,допомога,допомогти,False,,допомога
support,assistance,підтримка,допомога,False,,підтримка
secretary,assistant,секретар,помічник,False,,секретар
conclusion,assumption,висновок,припущення,False,,висновок
pacific,atlantic,тихоокеанський,атлантичний,False,,тихоокеанський
environment,atmosphere,навколишнє середовище,атмосфера,False,,навколишнє середовище
invasion,attack,вторгнення,атака,False,,вторгнення
victim,attacker,жертва,нападник,False,,жертва
try,attempt,спробуй,спроба,False,,спробуй
opinion,attitude,думка,ставлення,False,,думка
attention,attract,увага,приваблювати,False,,увага
crowd,audience,натовп,аудиторія,False,,натовп
jurisdiction,authority,юрисдикція,влада,False,,юрисдикція
spring,autumn,весна,осінь,False,,весна
toast,bacon,тост,бекон,False,,тост
good,bad,добре,погано,False,,добре
box,bag,коробка,мішок,False,,коробка
trap,bait,пастка,приманка,False,,пастка
orchestra,band,оркестр,група,False,,оркестр
club,bar,клуб,бар,False,,клуб
stadium,baseball,стадіон,бейсбол,False,,стадіон
shower,bathroom,душ,ванна кімната,False,,душ
superman,batman,супермен,бетмен,False,,супермен
